phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+Retina,delta
Cardio,phecode_413-42,Pulmonary valve insufficiency*,"0.66 (0.609, 0.692)","0.621 (0.584, 0.662)","-0.034 (-0.064, -0.009)"
Resp,phecode_486-21,Bronchospasm,"0.544 (0.506, 0.582)","0.513 (0.479, 0.544)","-0.033 (-0.058, 0.003)"
Signs/Symptoms,phecode_841-5,Allergy to serum and vaccine,"0.63 (0.579, 0.67)","0.597 (0.547, 0.643)","-0.033 (-0.059, -0.002)"
Endo,phecode_205,Hypoglycemia,"0.657 (0.635, 0.68)","0.624 (0.597, 0.655)","-0.033 (-0.067, 0.004)"
Genitourinary,phecode_621,Endometrial hyperplasia,"0.554 (0.508, 0.594)","0.518 (0.474, 0.575)","-0.033 (-0.072, 0.009)"
GI,phecode_514-3,Ileus,"0.687 (0.653, 0.723)","0.658 (0.617, 0.689)","-0.032 (-0.054, -0.006)"
GI,phecode_504-32,Chronic periodontitis,"0.54 (0.515, 0.573)","0.507 (0.477, 0.55)","-0.031 (-0.065, -0.01)"
GI,phecode_500,Disorders of tooth develoment,"0.559 (0.523, 0.602)","0.527 (0.491, 0.568)","-0.031 (-0.048, -0.012)"
ID,phecode_002-1,Staphylococcus aureus,"0.582 (0.563, 0.601)","0.553 (0.53, 0.576)","-0.031 (-0.052, -0.01)"
Resp,phecode_475-5,Exercise induced bronchospasm,"0.513 (0.474, 0.56)","0.485 (0.437, 0.523)","-0.03 (-0.065, 0.005)"
Neoplasms,phecode_124-5,Essential thrombocythemia,"0.629 (0.569, 0.669)","0.6 (0.556, 0.635)","-0.03 (-0.064, 0.001)"
Genitourinary,phecode_601-11,Acute prostatitis,"0.56 (0.533, 0.589)","0.53 (0.503, 0.561)","-0.03 (-0.069, 0.011)"
GI,phecode_523-1,Diverticula of small intestine,"0.634 (0.601, 0.681)","0.605 (0.572, 0.654)","-0.03 (-0.055, 0)"
Neoplasms,phecode_123-1,Multiple myeloma,"0.68 (0.647, 0.713)","0.649 (0.617, 0.686)","-0.029 (-0.049, -0.009)"
Blood,phecode_171-1,Lymphocytosis (symptomatic),"0.624 (0.578, 0.667)","0.596 (0.554, 0.641)","-0.028 (-0.06, 0.006)"
GI,phecode_500-41,Impacted teeth*,"0.59 (0.557, 0.621)","0.561 (0.524, 0.598)","-0.028 (-0.051, -0.005)"
Cardio,phecode_413-4,Pulmonary valve disorders,"0.664 (0.626, 0.707)","0.636 (0.6, 0.681)","-0.028 (-0.05, 0.005)"
Neoplasms,phecode_124,Myeloproliferative disorder,"0.673 (0.649, 0.702)","0.646 (0.627, 0.673)","-0.027 (-0.044, -0.007)"
Musc/Skel,phecode_702,Infective and reactive arthropathies,"0.551 (0.522, 0.582)","0.525 (0.493, 0.557)","-0.027 (-0.052, -0.007)"
Neoplasms,phecode_123,Multiple myeloma and malignant plasma cell neoplasms,"0.691 (0.649, 0.726)","0.665 (0.627, 0.706)","-0.027 (-0.045, -0.005)"
Musc/Skel,phecode_712-6,Instability of joint,"0.525 (0.505, 0.563)","0.502 (0.475, 0.532)","-0.026 (-0.046, -0.002)"
Neuro,phecode_355-1,Coma,"0.578 (0.548, 0.611)","0.551 (0.522, 0.587)","-0.025 (-0.061, 0.006)"
Neoplasms,phecode_122-22,Diffuse large B-cell lymphoma*,"0.664 (0.633, 0.7)","0.639 (0.603, 0.676)","-0.025 (-0.048, 0.011)"
Endo,phecode_200-31,Graves' disease [Toxic diffuse goiter],"0.63 (0.594, 0.666)","0.608 (0.572, 0.653)","-0.023 (-0.035, -0.008)"
Musc/Skel,phecode_703-2,Chondrocalcinosis,"0.667 (0.638, 0.695)","0.644 (0.612, 0.677)","-0.023 (-0.045, 0.002)"
Cardio,phecode_438-12,Thoracic aneurysm,"0.676 (0.651, 0.707)","0.652 (0.629, 0.687)","-0.023 (-0.045, -0.007)"
Neoplasms,phecode_106-21,Malignant neoplasm of endometrium,"0.571 (0.542, 0.6)","0.549 (0.523, 0.576)","-0.023 (-0.05, -0.002)"
Neoplasms,phecode_109,"Malignant neoplasm of the eye, brain and other parts of central nervous system","0.584 (0.553, 0.612)","0.561 (0.535, 0.587)","-0.022 (-0.047, 0.002)"
Eye,phecode_381-1,Paralytic strabismus [Neurogenic strabismus],"0.66 (0.629, 0.689)","0.638 (0.606, 0.67)","-0.022 (-0.052, 0.009)"
GI,phecode_532-4,Volvulus,"0.595 (0.56, 0.626)","0.574 (0.532, 0.61)","-0.022 (-0.048, 0.006)"
Cardio,phecode_414-2,Dilated cardiomyopathy*,"0.677 (0.647, 0.713)","0.652 (0.618, 0.686)","-0.022 (-0.045, 0)"
Blood,phecode_171,Increased white blood cell count,"0.604 (0.577, 0.633)","0.581 (0.555, 0.616)","-0.021 (-0.056, 0.009)"
Neoplasms,phecode_109-3,Malignant neoplasm of brain,"0.602 (0.562, 0.648)","0.579 (0.542, 0.618)","-0.021 (-0.051, 0.002)"
GI,phecode_506-3,Sialoadenitis,"0.551 (0.526, 0.581)","0.532 (0.503, 0.559)","-0.021 (-0.044, 0.003)"
Genitourinary,phecode_614-1,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)","0.547 (0.504, 0.586)","0.529 (0.484, 0.56)","-0.021 (-0.046, 0.004)"
Neoplasms,phecode_120-1,Myeloid,"0.69 (0.67, 0.712)","0.669 (0.65, 0.687)","-0.021 (-0.031, -0.01)"
GI,phecode_509-11,Glossodynia,"0.594 (0.561, 0.62)","0.573 (0.543, 0.594)","-0.021 (-0.042, 0.003)"
Endo,phecode_208-21,Primary hyperparathyroidism,"0.674 (0.65, 0.702)","0.656 (0.626, 0.679)","-0.021 (-0.036, -0.003)"
GI,phecode_520-12,Femoral hernia,"0.58 (0.532, 0.616)","0.558 (0.519, 0.599)","-0.02 (-0.053, 0.024)"
Neoplasms,phecode_139-54,Testicular limpoma,"0.568 (0.535, 0.604)","0.547 (0.52, 0.585)","-0.02 (-0.032, -0.008)"
Derm,phecode_664-2,Pityriasis,"0.594 (0.565, 0.629)","0.575 (0.547, 0.604)","-0.02 (-0.035, -0.007)"
Neoplasms,phecode_106-2,Malignant neoplasm of the uterus,"0.565 (0.542, 0.589)","0.546 (0.522, 0.573)","-0.02 (-0.042, 0.007)"
GI,phecode_530-3,Rectal prolapse,"0.711 (0.681, 0.737)","0.692 (0.659, 0.718)","-0.02 (-0.032, -0.01)"
Neoplasms,phecode_106,Gynecological malignant neoplasms,"0.553 (0.534, 0.575)","0.535 (0.514, 0.555)","-0.019 (-0.035, -0.001)"
ID,phecode_004,Streptococcus,"0.574 (0.554, 0.592)","0.556 (0.534, 0.572)","-0.019 (-0.044, 0.005)"
Blood,phecode_180-31,Monoclonal gammopathy,"0.688 (0.663, 0.715)","0.671 (0.644, 0.7)","-0.019 (-0.031, -0.004)"
GI,phecode_518,Appendicitis,"0.558 (0.534, 0.585)","0.54 (0.515, 0.566)","-0.019 (-0.036, -0.003)"
Neoplasms,phecode_121,Leukemia,"0.687 (0.661, 0.709)","0.67 (0.64, 0.693)","-0.019 (-0.038, -0.004)"
Genitourinary,phecode_624-2,Atrophy of female genital tract,"0.566 (0.542, 0.592)","0.547 (0.526, 0.575)","-0.018 (-0.036, 0.001)"
Genitourinary,phecode_581-33,Stricture or kinking of ureter,"0.586 (0.555, 0.622)","0.572 (0.536, 0.607)","-0.018 (-0.043, 0.006)"
Neoplasms,phecode_108-41,"Malignant neoplasm of kidney, except pelvis","0.663 (0.635, 0.698)","0.644 (0.621, 0.676)","-0.018 (-0.039, -0.001)"
Signs/Symptoms,phecode_814,Jaundice (not of newborn),"0.616 (0.594, 0.646)","0.597 (0.567, 0.63)","-0.018 (-0.047, 0)"
Blood,phecode_180-3,Paraproteinemias,"0.686 (0.657, 0.704)","0.667 (0.643, 0.686)","-0.018 (-0.032, -0.006)"
Genitourinary,phecode_604-3,Peyronie's disease,"0.499 (0.469, 0.526)","0.48 (0.457, 0.516)","-0.018 (-0.046, 0.017)"
Neoplasms,phecode_120-21,Mature B-cell,"0.681 (0.662, 0.7)","0.664 (0.647, 0.683)","-0.017 (-0.029, -0.006)"
Musc/Skel,phecode_728-1,Chondromalacia,"0.65 (0.616, 0.69)","0.634 (0.593, 0.674)","-0.017 (-0.025, -0.004)"
Neoplasms,phecode_120,Hemo onc - by cell of origin,"0.667 (0.654, 0.678)","0.649 (0.639, 0.661)","-0.017 (-0.023, -0.009)"
Genitourinary,phecode_604-1,Redundant prepuce and phimosis,"0.485 (0.458, 0.509)","0.466 (0.437, 0.487)","-0.017 (-0.052, 0.007)"
Neuro,phecode_349-2,Abnormal results of function studies of peripheral nervous system,"0.566 (0.545, 0.599)","0.551 (0.523, 0.581)","-0.017 (-0.036, 0.002)"
Neoplasms,phecode_101-1,Malignant neoplasm of the esophagus,"0.733 (0.709, 0.761)","0.716 (0.687, 0.746)","-0.017 (-0.035, -0.004)"
GI,phecode_552-2,Obstruction of bile duct,"0.632 (0.606, 0.663)","0.617 (0.586, 0.646)","-0.017 (-0.041, 0.007)"
Mental,phecode_308-3,Emotional lability,"0.655 (0.619, 0.693)","0.642 (0.605, 0.682)","-0.017 (-0.038, 0.005)"
GI,phecode_509-1,Glossitis,"0.599 (0.574, 0.624)","0.581 (0.56, 0.606)","-0.017 (-0.031, 0)"
Cardio,phecode_430-3,Nontraumatic subdural hemorrhage,"0.663 (0.626, 0.693)","0.647 (0.607, 0.676)","-0.017 (-0.04, 0.002)"
Neoplasms,phecode_106-3,Malignant neoplasm of the ovary,"0.581 (0.558, 0.615)","0.569 (0.534, 0.603)","-0.016 (-0.045, 0.014)"
ID,phecode_011,Klebsiella,"0.669 (0.638, 0.696)","0.651 (0.619, 0.689)","-0.016 (-0.048, 0.031)"
Neoplasms,phecode_121-2,Chronic leukemia,"0.698 (0.674, 0.723)","0.683 (0.651, 0.707)","-0.016 (-0.041, 0.013)"
Neuro,phecode_356-2,Aphasia and dysphasia,"0.69 (0.659, 0.715)","0.673 (0.647, 0.7)","-0.016 (-0.037, 0.005)"
Musc/Skel,phecode_734-9,Jaw pain,"0.578 (0.559, 0.602)","0.564 (0.54, 0.584)","-0.016 (-0.032, 0)"
Neoplasms,phecode_144-1,Benign neoplasms of external female genital organs and cervix,"0.614 (0.594, 0.636)","0.6 (0.573, 0.622)","-0.016 (-0.031, -0.002)"
Blood,phecode_168-4,Abnormal coagulation profile,"0.731 (0.698, 0.768)","0.718 (0.685, 0.746)","-0.015 (-0.03, -0.002)"
Hearing,phecode_398-1,Abnormal auditory function study,"0.602 (0.575, 0.626)","0.586 (0.559, 0.613)","-0.015 (-0.032, -0.001)"
Cardio,phecode_413-22,Aortic insufficiency,"0.673 (0.653, 0.687)","0.658 (0.636, 0.674)","-0.015 (-0.024, -0.004)"
Genitourinary,phecode_622-2,Mucous polyp of cervix,"0.621 (0.601, 0.642)","0.605 (0.583, 0.628)","-0.015 (-0.029, -0.004)"
Neoplasms,phecode_121-21,Chronic lymphoid leukemia,"0.698 (0.67, 0.73)","0.682 (0.653, 0.716)","-0.015 (-0.037, 0.006)"
Cardio,phecode_416-12,Ventricular tachycardia,"0.708 (0.689, 0.734)","0.694 (0.671, 0.721)","-0.015 (-0.028, -0.002)"
GI,phecode_530-1,Anal fissure,"0.554 (0.539, 0.569)","0.539 (0.523, 0.554)","-0.015 (-0.024, -0.008)"
Eye,phecode_367-2,Keratitis,"0.535 (0.503, 0.554)","0.52 (0.491, 0.542)","-0.015 (-0.038, 0.012)"
Neoplasms,phecode_144-13,Benign neoplasms of the cervix,"0.624 (0.604, 0.641)","0.609 (0.586, 0.633)","-0.014 (-0.027, -0.001)"
Neoplasms,phecode_120-2,Lymphoid,"0.666 (0.649, 0.687)","0.651 (0.635, 0.669)","-0.014 (-0.027, -0.003)"
Hearing,phecode_394-1,Meniere disease,"0.582 (0.56, 0.605)","0.569 (0.542, 0.59)","-0.014 (-0.028, 0.004)"
Mental,phecode_308-6,"Excessive crying of child, adolescent, or adult","0.658 (0.627, 0.702)","0.645 (0.605, 0.694)","-0.014 (-0.038, 0.013)"
Eye,phecode_374-39,Transient retinal arterial occlusion [Amaurosis fugax],"0.667 (0.634, 0.702)","0.653 (0.616, 0.686)","-0.014 (-0.029, 0)"
Genitourinary,phecode_604,Disorders of penis,"0.508 (0.491, 0.522)","0.495 (0.481, 0.511)","-0.014 (-0.027, -0.001)"
Genitourinary,phecode_601,Inflammatory diseases of prostate,"0.574 (0.554, 0.589)","0.558 (0.541, 0.577)","-0.014 (-0.021, -0.006)"
Genitourinary,phecode_593-2,Microscopic hematuria,"0.583 (0.565, 0.595)","0.57 (0.551, 0.583)","-0.014 (-0.022, -0.007)"
Cardio,phecode_416-71,Sick sinus syndrome*,"0.731 (0.694, 0.767)","0.717 (0.684, 0.751)","-0.014 (-0.031, 0)"
Genitourinary,phecode_601-1,Prostatitis,"0.571 (0.555, 0.586)","0.557 (0.541, 0.573)","-0.014 (-0.021, -0.006)"
Hearing,phecode_391-9,Otorrhea,"0.552 (0.524, 0.578)","0.539 (0.513, 0.562)","-0.014 (-0.03, 0.008)"
Cardio,phecode_413-11,Mitral valve insufficiency,"0.692 (0.679, 0.705)","0.678 (0.665, 0.695)","-0.014 (-0.021, -0.006)"
Cardio,phecode_416-51,Atrial premature depolarization [Supraventricular premature beats],"0.616 (0.592, 0.65)","0.604 (0.572, 0.634)","-0.014 (-0.038, 0.015)"
Cardio,phecode_413-12,Mitral valve prolapse*,"0.645 (0.594, 0.681)","0.633 (0.581, 0.668)","-0.014 (-0.038, 0.011)"
Genitourinary,phecode_613-1,Inflammatory disease of breast,"0.579 (0.545, 0.607)","0.566 (0.535, 0.591)","-0.013 (-0.029, 0.002)"
Resp,phecode_463-1,Chronic rhinitis,"0.549 (0.538, 0.562)","0.536 (0.525, 0.547)","-0.013 (-0.02, -0.006)"
Neoplasms,phecode_101-8,Malignant neoplasm of the pancreas,"0.67 (0.647, 0.704)","0.657 (0.633, 0.687)","-0.013 (-0.034, 0.007)"
Cardio,phecode_416-7,Sinoatrial node dysfunction,"0.733 (0.702, 0.764)","0.717 (0.685, 0.753)","-0.013 (-0.032, -0.001)"
Genitourinary,phecode_601-12,Chronic prostatitis,"0.596 (0.57, 0.628)","0.583 (0.553, 0.611)","-0.013 (-0.026, -0.001)"
Genitourinary,phecode_604-5,Balanoposthitis,"0.526 (0.505, 0.548)","0.511 (0.494, 0.531)","-0.013 (-0.03, 0.002)"
Eye,phecode_381,Strabismus,"0.629 (0.61, 0.654)","0.616 (0.597, 0.639)","-0.013 (-0.029, 0)"
Cardio,phecode_413-6,Heart valve replaced,"0.725 (0.701, 0.745)","0.711 (0.691, 0.733)","-0.013 (-0.026, -0.003)"
GI,phecode_552-1,Cholangitis,"0.59 (0.564, 0.631)","0.575 (0.548, 0.615)","-0.013 (-0.046, 0.018)"
Hearing,phecode_394-4,Abnormal vestibular function study,"0.588 (0.552, 0.633)","0.572 (0.54, 0.614)","-0.013 (-0.035, 0.005)"
GI,phecode_522-11,Crohn's disease,"0.524 (0.494, 0.557)","0.51 (0.48, 0.545)","-0.013 (-0.044, 0.017)"
Musc/Skel,phecode_734,Diseases of the jaws,"0.579 (0.561, 0.596)","0.566 (0.55, 0.587)","-0.013 (-0.026, 0.001)"
Neuro,phecode_329-42,Cognitive communication deficit,"0.535 (0.511, 0.556)","0.523 (0.491, 0.549)","-0.013 (-0.037, 0.01)"
GI,phecode_520-15,Incisional hernia,"0.595 (0.575, 0.618)","0.581 (0.559, 0.605)","-0.013 (-0.035, 0.003)"
Resp,phecode_471-3,Hypertrophy of nasal turbinates,"0.596 (0.555, 0.635)","0.584 (0.545, 0.617)","-0.013 (-0.036, 0.008)"
Derm,phecode_667,Erythematous conditions,"0.55 (0.528, 0.575)","0.536 (0.518, 0.556)","-0.012 (-0.036, 0.006)"
Endo,phecode_200-23,Multinodular goiter,"0.695 (0.675, 0.714)","0.681 (0.663, 0.702)","-0.012 (-0.023, -0.005)"
GI,phecode_552,Other diseases of biliary tract,"0.615 (0.6, 0.636)","0.603 (0.585, 0.623)","-0.012 (-0.029, 0.004)"
ID,phecode_088,Sexually transmitted disease,"0.631 (0.607, 0.66)","0.62 (0.597, 0.647)","-0.012 (-0.018, -0.005)"
Neuro,phecode_328-9,Dementia NOS,"0.776 (0.757, 0.792)","0.764 (0.744, 0.78)","-0.012 (-0.023, -0.005)"
Cardio,phecode_416-43,Right bundle branch block,"0.708 (0.688, 0.723)","0.695 (0.676, 0.711)","-0.012 (-0.018, -0.007)"
Resp,phecode_466-4,Hypertrophy of tonsils and adenoids,"0.612 (0.573, 0.656)","0.601 (0.562, 0.646)","-0.012 (-0.031, 0.014)"
GI,phecode_510-5,Dyskinesia of esophagus,"0.597 (0.567, 0.628)","0.587 (0.547, 0.614)","-0.012 (-0.037, 0.01)"
Neoplasms,phecode_122-2,Non-Hodgkin lymphoma,"0.666 (0.65, 0.69)","0.656 (0.635, 0.68)","-0.011 (-0.026, 0.002)"
Neuro,phecode_329-5,"Mild cognitive impairment, so stated","0.764 (0.748, 0.782)","0.753 (0.734, 0.768)","-0.011 (-0.021, -0.001)"
GI,phecode_513-3,Duodenal ulcer,"0.616 (0.595, 0.636)","0.605 (0.584, 0.625)","-0.011 (-0.023, 0.004)"
Neuro,phecode_329-6,Transient global amnesia,"0.615 (0.582, 0.639)","0.603 (0.565, 0.636)","-0.011 (-0.026, 0.002)"
Musc/Skel,phecode_721-6,Baker's cyst [popliteal cyst],"0.584 (0.569, 0.597)","0.572 (0.558, 0.589)","-0.011 (-0.021, -0.003)"
Endo,phecode_200-13,Postprocedural hypothyroidism,"0.664 (0.639, 0.69)","0.654 (0.628, 0.677)","-0.011 (-0.022, 0)"
Musc/Skel,phecode_710-3,Acquired deformities of the knee,"0.597 (0.573, 0.622)","0.585 (0.562, 0.612)","-0.011 (-0.021, -0.001)"
Neoplasms,phecode_105-1,"Malignant neoplasm of the breast, female","0.533 (0.518, 0.542)","0.522 (0.507, 0.533)","-0.011 (-0.02, 0)"
Musc/Skel,phecode_712,Other specific joint derangements,"0.531 (0.515, 0.548)","0.52 (0.507, 0.538)","-0.011 (-0.024, 0.001)"
Musc/Skel,phecode_724-3,Nontraumatic hematoma of soft tissue,"0.571 (0.544, 0.595)","0.558 (0.531, 0.593)","-0.011 (-0.042, 0.016)"
GI,phecode_506,Diseases of salivary glands,"0.591 (0.576, 0.606)","0.58 (0.567, 0.596)","-0.011 (-0.02, 0)"
Musc/Skel,phecode_710-41,Flat foot [pes planus],"0.587 (0.563, 0.614)","0.575 (0.55, 0.611)","-0.011 (-0.032, 0.01)"
Cardio,phecode_413-1,Mitral valve disorders,"0.703 (0.691, 0.712)","0.691 (0.682, 0.702)","-0.011 (-0.018, -0.005)"
Eye,phecode_366-42,Conjunctival hyperemia,"0.53 (0.496, 0.576)","0.519 (0.489, 0.554)","-0.011 (-0.052, 0.03)"
Musc/Skel,phecode_704,Systemic vasculitis,"0.68 (0.657, 0.706)","0.67 (0.649, 0.693)","-0.01 (-0.024, 0.002)"
Neoplasms,phecode_140,Benign neoplasm of the breast,"0.797 (0.78, 0.817)","0.786 (0.77, 0.807)","-0.01 (-0.018, -0.002)"
Neoplasms,phecode_139-53,Lipoma of other skin subcutaneous tissue,"0.526 (0.507, 0.543)","0.515 (0.492, 0.531)","-0.01 (-0.026, 0.003)"
Neuro,phecode_328,Dementias and cerebral degeneration,"0.79 (0.778, 0.801)","0.78 (0.769, 0.79)","-0.01 (-0.015, -0.005)"
Cardio,phecode_416-1,Paroxysmal tachycardia,"0.632 (0.617, 0.646)","0.621 (0.606, 0.637)","-0.01 (-0.022, -0.002)"
Resp,phecode_467-1,Acute laryngitis and tracheitis,"0.625 (0.612, 0.639)","0.615 (0.602, 0.631)","-0.01 (-0.016, -0.004)"
Cardio,phecode_410-2,Endocarditis,"0.64 (0.622, 0.655)","0.63 (0.609, 0.649)","-0.01 (-0.024, 0.003)"
Derm,phecode_685-1,Dyshidrosis,"0.539 (0.503, 0.565)","0.529 (0.494, 0.553)","-0.01 (-0.025, 0.006)"
Mental,phecode_288-4,Phobic disorders,"0.596 (0.576, 0.611)","0.586 (0.569, 0.602)","-0.01 (-0.02, 0.001)"
Neuro,phecode_328-8,Dementia in conditions classified elsewhere,"0.804 (0.791, 0.817)","0.794 (0.78, 0.807)","-0.01 (-0.014, -0.006)"
Eye,phecode_386-2,Diplopia,"0.59 (0.575, 0.612)","0.58 (0.557, 0.603)","-0.01 (-0.023, 0.002)"
Neuro,phecode_328-7,Vascular dementia,"0.793 (0.769, 0.814)","0.783 (0.763, 0.801)","-0.01 (-0.027, 0.007)"
GI,phecode_554-2,Cyst and pseudocyst of pancreas,"0.626 (0.578, 0.661)","0.611 (0.573, 0.656)","-0.01 (-0.047, 0.018)"
Neuro,phecode_353,Symptoms and signs involving general sensations and perceptions,"0.558 (0.547, 0.574)","0.549 (0.536, 0.563)","-0.01 (-0.018, 0)"
Genitourinary,phecode_592-12,Chronic cystitis,"0.585 (0.543, 0.631)","0.578 (0.543, 0.614)","-0.01 (-0.027, 0.022)"
Neoplasms,phecode_116-3,Secondary malignant neoplasm of digestive systems,"0.634 (0.615, 0.656)","0.624 (0.604, 0.647)","-0.01 (-0.028, 0.003)"
Eye,phecode_386-9,Visual distortions and subjective visual disturbances,"0.628 (0.594, 0.661)","0.618 (0.585, 0.652)","-0.01 (-0.032, 0.012)"
Endo,phecode_200-21,Diffuse goiter,"0.623 (0.597, 0.659)","0.614 (0.584, 0.651)","-0.009 (-0.026, 0.003)"
Endo,phecode_208,Disorders of parathyroid gland,"0.646 (0.63, 0.667)","0.637 (0.622, 0.659)","-0.009 (-0.023, 0.006)"
Neoplasms,phecode_108-4,Malignant neoplasm of the kidney,"0.656 (0.628, 0.688)","0.649 (0.619, 0.678)","-0.009 (-0.024, 0.004)"
Musc/Skel,phecode_704-5,Giant cell arteritis,"0.748 (0.723, 0.778)","0.741 (0.717, 0.771)","-0.009 (-0.021, 0.009)"
Neoplasms,phecode_101-42,Malignant neoplasm of the rectum,"0.683 (0.658, 0.707)","0.673 (0.642, 0.695)","-0.009 (-0.018, 0.003)"
Resp,phecode_467,Laryngitis and tracheitis,"0.62 (0.606, 0.631)","0.61 (0.596, 0.622)","-0.009 (-0.016, -0.004)"
Resp,phecode_476,Bronchiectasis,"0.671 (0.66, 0.682)","0.662 (0.651, 0.675)","-0.009 (-0.015, -0.002)"
Cardio,phecode_423-1,Cardiac murmurs,"0.639 (0.621, 0.651)","0.63 (0.614, 0.647)","-0.009 (-0.02, 0.002)"
Eye,phecode_363-7,Stenosis and insufficiency of lacrimal passages,"0.625 (0.599, 0.656)","0.617 (0.595, 0.646)","-0.009 (-0.023, 0.007)"
Hearing,phecode_391-7,Perforation of tympanic membrane,"0.541 (0.521, 0.567)","0.533 (0.509, 0.554)","-0.009 (-0.033, 0.013)"
Derm,phecode_664-21,Pityriasis rosea,"0.616 (0.582, 0.652)","0.606 (0.567, 0.645)","-0.009 (-0.024, 0.004)"
Neoplasms,phecode_122,Lymphoma,"0.658 (0.632, 0.681)","0.65 (0.629, 0.674)","-0.009 (-0.022, 0.006)"
Cardio,phecode_416-11,Supraventricular tachycardia,"0.621 (0.604, 0.638)","0.612 (0.595, 0.629)","-0.009 (-0.02, 0.002)"
Resp,phecode_487-1,Epistaxis,"0.594 (0.582, 0.605)","0.584 (0.574, 0.594)","-0.009 (-0.015, -0.002)"
Hearing,phecode_391-21,Eustachian salpingitis,"0.488 (0.46, 0.518)","0.48 (0.454, 0.508)","-0.009 (-0.031, 0.018)"
Neuro,phecode_324-41,Essential tremor*,"0.638 (0.614, 0.662)","0.629 (0.6, 0.651)","-0.009 (-0.026, 0.009)"
Genitourinary,phecode_597-5,Urethral caruncle,"0.787 (0.76, 0.812)","0.778 (0.751, 0.805)","-0.008 (-0.016, -0.004)"
ID,phecode_056-1,Plantar wart,"0.534 (0.517, 0.549)","0.524 (0.511, 0.542)","-0.008 (-0.014, 0)"
Musc/Skel,phecode_723-5,Tendinitis,"0.522 (0.512, 0.531)","0.513 (0.503, 0.52)","-0.008 (-0.016, 0)"
Derm,phecode_660-2,Bacterial infection of the skin,"0.506 (0.487, 0.522)","0.498 (0.482, 0.519)","-0.008 (-0.025, 0.009)"
Blood,phecode_180,Other disorders involving the immune mechanism,"0.602 (0.575, 0.624)","0.593 (0.571, 0.613)","-0.008 (-0.023, 0.008)"
Musc/Skel,phecode_714,Deforming dorsopathies,"0.677 (0.663, 0.694)","0.67 (0.655, 0.687)","-0.008 (-0.015, -0.001)"
Genitourinary,phecode_628,Ovarian cyst,"0.593 (0.58, 0.612)","0.585 (0.571, 0.6)","-0.008 (-0.014, -0.003)"
Cardio,phecode_411,Other diseases of pericardium,"0.644 (0.621, 0.669)","0.637 (0.618, 0.661)","-0.008 (-0.024, 0.011)"
Musc/Skel,phecode_723-3,Medial epicondylitis (Golfer's elbow),"0.561 (0.546, 0.575)","0.553 (0.537, 0.569)","-0.008 (-0.019, 0.002)"
Mental,phecode_290-1,Posttraumatic stress disorder,"0.655 (0.611, 0.708)","0.648 (0.599, 0.695)","-0.008 (-0.027, 0.01)"
Genitourinary,phecode_614-52,Vaginitis and vulvovaginitis,"0.554 (0.542, 0.565)","0.546 (0.534, 0.56)","-0.008 (-0.015, 0.001)"
Derm,phecode_683,Nail disorders,"0.532 (0.522, 0.54)","0.525 (0.515, 0.532)","-0.008 (-0.014, -0.002)"
Genitourinary,phecode_624,Symptoms involving female genital tract,"0.554 (0.529, 0.572)","0.545 (0.525, 0.568)","-0.008 (-0.023, 0.009)"
