phecode_category,endpoint,phecode_string,ukb_n,ukb_n_1,ukb_n_2,ukb_n_3,ukb_n_4,ukb_n_5,ukb_n_6,ukb_n_7,ukb_n_8,ukb_n_9,ukb_n_10,ukb_ratio,epic_n,epic_n_1,epic_n_2,epic_n_3,epic_n_4,epic_n_5,epic_n_6,epic_n_7,epic_n_8,epic_n_9,epic_n_10,epic_ratio
ID,phecode_052,Herpesvirus,3872,273,327,340,369,418,423,425,402,441,454,1.6633000985942163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_052-1,Herpes simplex,797,56,58,59,79,70,85,96,89,98,107,1.9110335895721924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_052-3,Varicella zoster virus,3342,224,270,303,305,351,362,380,386,390,371,1.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_052-32,Herpes zoster,3301,207,260,278,320,336,381,370,385,366,398,1.9230318604284815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_054,Hepatovirus,111,12,12,7,14,11,9,9,9,11,17,1.4168999012183074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_056,Human papillomavirus,2397,220,227,229,244,243,237,243,264,241,249,1.1320166071656255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_056-1,Plantar wart,840,66,69,71,86,79,80,96,94,91,108,1.6366367277582232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_059,Coronavirus,1055,62,92,84,101,84,119,118,125,122,148,2.387486504279131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_059-1,COVID-19*,1017,64,88,72,95,78,126,108,119,116,151,2.3597602040816326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_061,Influenza virus,362,26,29,30,35,32,33,37,34,53,53,2.038801395336907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_070,Candidiasis,3219,230,247,302,338,327,348,370,335,358,364,1.582890549382477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_084,Parasites,267,20,19,19,14,24,32,29,31,29,50,2.500413907284768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_086,"Pediculosis, acariasis and other infestations",247,26,26,18,22,29,25,25,25,24,27,1.0386326476291874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_088,Sexually transmitted disease,248,13,14,11,28,17,24,25,34,39,43,3.3082416669860617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_089,Infections,11862,1022,1142,1128,1165,1211,1271,1262,1251,1179,1231,1.2048253794912147,601,29,27,28,33,39,54,65,79,80,127,4.385522132550745
ID,phecode_089-1,Bacterial infections,4047,264,295,312,361,358,436,408,462,541,610,2.3110153071630224,396,13,13,18,14,35,40,46,53,61,81,6.239544962080173
ID,phecode_089-2,Viral infections,8466,774,739,785,829,868,903,850,866,880,972,1.2560815464893287,178,8,9,13,15,17,10,20,22,21,39,4.881770833333333
ID,phecode_089-3,Fungal infections,7223,608,600,676,717,701,715,780,809,804,813,1.337438112957649,109,9,9,6,4,10,11,9,12,14,24,2.67035500230521
ID,phecode_092,"Bacteremia, Sepsis, and SIRS",1652,47,62,102,93,129,168,198,238,262,353,7.511870357960574,261,9,14,19,13,14,37,26,42,36,51,5.674515235457065
ID,phecode_092-2,Sepsis,1635,48,60,103,91,132,165,199,234,260,343,7.147005165628076,260,9,13,19,13,15,37,24,43,35,52,5.78578024007387
ID,phecode_095,Sequela of infection,241,23,20,23,18,22,29,22,25,25,34,1.4785042447495385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_096,Contact or exposure to infectious agent,467,34,39,49,34,34,45,40,62,61,69,2.0297450014488554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_097,Drug resistant microorganisms,137,17,10,8,12,15,16,14,12,14,19,1.1178297704564908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_097-1,Methicillin resistant Staphylococcus aureus,117,10,11,9,13,10,13,20,8,12,11,1.1001798267124407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_098,Carrier or suspected carrier of infectious diseases,289,17,14,31,11,17,23,40,44,43,49,2.88235294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_099,Lab findings related to infections,776,76,95,77,80,86,61,94,84,65,58,0.7632843710203584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_100,Malignant neoplasm of the head and neck,250,7,17,13,20,25,27,25,31,33,52,7.429786836200449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_101,Malignant neoplasm of the digestive organs,1652,39,74,113,125,133,173,193,227,264,311,7.97567249090886,243,13,12,23,16,27,18,28,27,38,31,2.3879458530296525
Neoplasms,phecode_101-1,Malignant neoplasm of the esophagus,176,2,2,9,14,21,19,14,32,34,29,14.50236850702385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_101-2,Malignant neoplasm of stomach,138,2,4,12,12,12,18,12,17,22,27,13.50220516171186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_101-4,Malignant neoplasm of the colon and rectum,882,25,35,55,66,82,104,116,127,133,139,5.560912972085386,156,10,7,13,10,17,17,19,15,28,16,1.602231520223152
Neoplasms,phecode_101-41,Malignant neoplasm of the colon,670,15,27,39,43,56,93,84,100,97,116,7.734601092896175,115,8,4,9,10,9,11,14,11,25,11,1.376912378303199
Neoplasms,phecode_101-42,Malignant neoplasm of the rectum,277,11,9,22,27,22,27,32,41,39,47,4.272727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_101-6,Malignant neoplasm of the liver and intrahepatic bile ducts,118,1,4,6,6,6,7,13,11,26,38,38.006206108116935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_101-8,Malignant neoplasm of the pancreas,181,5,9,6,16,10,21,20,21,35,38,7.6012410189418675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_102,Malignant neoplasm of the thoracic and respiratory organs,686,7,21,37,41,67,61,86,85,109,172,24.575446136597215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_102-1,Malignant neoplasm of the of bronchus and lung,594,2,16,33,42,50,51,73,77,88,162,81.01323745710084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_103,Malignant neoplasm of the skin,3620,67,178,200,270,372,414,455,499,555,610,9.106012160669767,651,27,47,46,46,59,53,56,68,71,86,3.1897160318212947
Neoplasms,phecode_103-1,Melanomas of skin,574,9,37,62,63,49,67,61,72,65,89,9.890513480459266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_103-2,Keratinocyte carcinoma,1997,38,89,119,136,188,205,244,272,325,381,10.027979356055644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_103-21,Basal cell carcinoma,1737,35,76,113,121,129,195,210,247,284,327,9.344406538734896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_103-22,Squamous cell carcinoma of the skin,368,6,9,20,18,39,44,48,42,56,86,14.335674616138517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_103-3,Carcinoma in situ of skin,597,10,13,20,50,60,70,87,92,99,96,9.601570937653412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_104,Malignant sarcoma-related cancers,224,10,16,19,18,31,27,24,29,19,31,3.10050719895288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_105,Malignant neoplasm of the breast,1420,5,46,79,113,124,163,199,216,230,245,49.00818987130203,160,5,9,6,13,14,19,17,14,21,21,4.199999999999999
Neoplasms,phecode_105-1,"Malignant neoplasm of the breast, female",1080,93,107,104,104,128,114,117,90,116,107,1.1508952774407466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_106,Gynecological malignant neoplasms,442,38,37,41,46,44,47,37,54,53,45,1.184574898785425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_106-2,Malignant neoplasm of the uterus,226,6,22,24,26,25,25,20,31,21,26,4.334640522875817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_106-21,Malignant neoplasm of endometrium,215,5,22,22,28,22,24,19,25,26,22,4.3999999999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_106-3,Malignant neoplasm of the ovary,169,15,9,11,12,22,18,17,15,26,24,1.6004825090470445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_107,Malignant neoplasm of male genitalia,1747,28,68,108,177,209,200,216,249,255,237,8.46737599749648,247,19,19,17,25,19,18,32,20,27,24,1.2672064777327936
Neoplasms,phecode_107-2,Malignant neoplasm of the prostate,1699,21,62,108,171,209,203,216,228,239,242,11.528,241,18,20,15,23,20,20,30,19,26,23,1.2818732193732194
Neoplasms,phecode_108,Malignant neoplasm of the urinary tract,641,9,20,39,41,50,45,81,98,133,125,13.891167997666194,139,2,4,8,9,13,11,17,15,17,27,13.518776077885953
Neoplasms,phecode_108-4,Malignant neoplasm of the kidney,227,7,12,14,17,14,22,26,36,39,40,5.715219879025666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_108-41,"Malignant neoplasm of kidney, except pelvis",201,6,9,11,21,13,21,23,30,34,33,5.5008991335622035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_108-5,Malignant neoplasm of the bladder,344,4,11,19,27,28,23,28,53,63,88,22.003602423448502,101,0,1,6,10,7,9,14,11,15,15,Inf
Neoplasms,phecode_109,"Malignant neoplasm of the eye, brain and other parts of central nervous system",188,11,13,8,17,18,21,28,24,23,25,2.273098633392751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_109-3,Malignant neoplasm of brain,151,12,8,10,10,12,15,15,20,26,23,1.9169796940497577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_110,Malignant neoplasm of the endocrine glands,102,7,5,9,9,12,8,10,12,12,18,2.57184894556155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_112,Malignant neoplasm of other and ill-defined sites,4502,155,195,250,314,421,473,563,613,715,803,5.181510766162718,1079,56,62,54,59,100,86,104,83,122,133,2.3784420289855075
Neoplasms,phecode_114,Neuroendocrine tumors,124,6,2,5,10,16,14,17,13,23,18,3.000490035935969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_116,Secondary malignant neoplasm,2120,58,90,144,146,184,228,255,256,360,399,6.880440137953686,394,27,26,31,32,41,40,44,37,49,50,1.8544238683127574
Neoplasms,phecode_116-1,Secondary malignancy of lymph nodes,909,31,66,74,68,97,114,116,103,107,133,4.2910257969344,170,18,16,19,19,11,18,19,23,8,14,0.7788565264293419
Neoplasms,phecode_116-2,Secondary malignancy of respiratory organs,621,14,35,46,43,52,75,62,79,102,113,8.072747001446773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_116-3,Secondary malignant neoplasm of digestive systems,416,13,18,31,41,38,43,58,37,61,76,5.847108787977786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_116-4,Secondary malignant neoplasm of liver,735,15,29,46,58,66,86,76,108,106,145,9.668245671349233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_116-5,Secondary malignancy of brain/spine,250,7,9,18,18,23,23,25,43,43,41,5.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_116-6,Secondary malignancy of bone,681,11,17,42,39,65,76,108,96,92,135,12.274732292703215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_120,Hemo onc - by cell of origin,897,38,37,59,53,80,111,108,138,123,150,3.948017979785732,138,5,7,10,8,11,12,17,11,21,17,3.4047156726768377
Neoplasms,phecode_120-1,Myeloid,429,15,13,25,24,42,46,48,60,74,82,5.467561521252796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_120-2,Lymphoid,443,18,12,30,31,43,50,60,62,61,76,4.22291427634814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_120-21,Mature B-cell,381,12,10,20,30,30,44,57,54,56,68,5.6675944117005015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_121,Leukemia,263,8,7,23,18,19,22,33,33,44,56,7.001144913313707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_121-2,Chronic leukemia,165,3,3,14,10,12,16,20,24,19,44,14.669064356165876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_121-21,Chronic lymphoid leukemia,142,1,4,11,8,12,12,17,23,19,35,35.00571988887073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_122,Lymphoma,329,14,10,23,20,31,41,37,55,48,50,3.5720138596244797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_122-2,Non-Hodgkin lymphoma,296,8,8,24,16,33,32,36,52,43,44,5.5009006058621255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_122-22,Diffuse large B-cell lymphoma*,121,5,3,2,10,13,16,18,27,14,13,2.600424628450106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_123,Multiple myeloma and malignant plasma cell neoplasms,147,8,11,6,8,7,13,18,22,21,33,4.125673799411957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_123-1,Multiple myeloma,140,8,13,5,8,5,15,15,17,21,33,4.125673799411957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_124,Myeloproliferative disorder,246,7,8,13,18,21,28,30,35,45,41,5.858100845833918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_124-5,Essential thrombocythemia,103,4,5,7,10,6,14,8,13,23,13,3.2505310457516337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_130,"Cancer (solid tumor, excluding BCC)",7801,319,371,555,633,735,817,938,1091,1102,1240,3.887832899327152,1489,72,90,85,97,98,120,120,109,163,153,2.1281954887218046
Neoplasms,phecode_132,Sequelae of cancer,667,8,23,37,62,62,76,70,109,99,121,15.127475450081834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_135,Benign neoplasm of the head and neck,677,45,68,65,74,58,68,64,74,72,89,1.9781053871496144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_135-1,Benign neoplasm of the oral cavity,145,7,14,14,10,18,9,22,19,12,20,2.8576102451450067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_135-5,Benign neoplasm of the paranasal sinus and nasal cavity,496,33,44,43,52,49,42,44,56,67,66,2.0003303600925006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_136,Benign neoplasm of the digestive organs,5933,327,435,479,504,553,625,668,716,784,842,2.5753587212298155,361,30,40,27,35,35,35,36,32,27,20,0.6676245210727969
Neoplasms,phecode_136-2,Benign neoplasm of stomach,1299,53,78,102,119,136,153,143,173,170,172,3.245815643686383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_136-4,"Benign neoplasm of colon, rectum, anus and anal canal",5004,244,369,395,411,439,527,566,593,692,768,3.1480702489476715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_136-41,Benign neoplasm of the colon,4231,215,267,316,327,415,413,511,534,590,643,2.991196124031007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_136-42,Benign neoplasm of rectum and anus,1990,112,124,164,162,170,230,208,255,270,295,2.6343642916223566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_138,Benign neoplasm of the skin,4328,300,328,350,369,425,418,469,526,554,589,1.963693313775822,104,9,6,13,11,12,10,9,12,10,9,1.0014025245441796
Neoplasms,phecode_138-1,"Nevus, non-neoplastic",464,32,51,43,48,50,31,40,48,60,61,1.9065630645426177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_138-2,Melanocytic nevi*,3466,249,293,305,346,317,384,335,405,385,447,1.795496720202408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_139,Benign sarcoma-related cancers,2174,199,195,218,226,216,213,231,209,216,251,1.261522140617618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_139-3,Benign neoplasm of other connective and soft tissue,103,10,6,6,14,15,9,15,8,9,11,1.1001802983117523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_139-5,Lipoma,1585,143,149,150,139,171,163,148,166,178,178,1.2449653654920367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_139-52,Lipoma of intrathoracic organs,117,17,7,11,12,18,6,12,10,13,11,0.6471645348222609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_139-53,Lipoma of other skin subcutaneous tissue,520,47,52,56,46,53,46,49,57,51,63,1.3406474566718334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_139-54,Testicular limpoma,129,13,7,14,15,14,12,15,9,17,13,1.0003581661891117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_139-6,Hemangioma and lymphangioma,494,50,59,43,54,40,43,47,45,53,60,1.200197271083347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_139-61,Hemangioma,488,47,62,50,49,37,45,46,42,51,59,1.2555254801572313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_140,Benign neoplasm of the breast,170,2,8,7,4,12,14,21,30,28,44,22.003634561374525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_142,Lump or mass in breast or nonspecific abnormal breast exam,2813,46,57,127,173,235,315,344,412,507,597,12.980568526192096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_142-1,Lump or mass in breast,1725,30,66,89,115,140,183,185,251,281,385,12.835576923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_144,Gynecological benign neoplasms,1869,120,128,107,137,154,178,185,240,260,360,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_144-1,Benign neoplasms of external female genital organs and cervix,373,25,22,23,39,42,32,39,42,55,54,2.1606695598264105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_144-13,Benign neoplasms of the cervix,337,21,20,20,26,46,27,42,40,50,45,2.143519950510362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_144-2,Benign neoplasms of the uterus,1575,103,98,96,104,126,161,149,207,215,316,3.068985184129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_144-21,Leiomyoma of uterus,1165,67,56,70,69,72,90,124,147,197,273,4.075958443078725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_144-3,Benign neoplasms of the ovary,158,16,10,24,16,13,19,17,10,21,12,0.7502265176683781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_146,Benign neoplasm of the genitourinary system,842,13,27,33,43,81,96,140,118,139,152,11.694228242191448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_146-2,Benign neoplasm of the prostate,797,46,65,94,102,117,77,74,76,68,78,1.6956521739130435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_148,"Benign neoplasm of the eye, brain and other parts of central nervous system",394,20,28,27,35,39,42,53,55,47,48,2.40039312039312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_148-1,Benign neoplasm of eye,216,11,14,18,18,24,14,32,23,28,34,3.091414306517281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_148-16,Benign neoplasm of choroid,206,9,13,19,15,22,17,29,22,30,30,3.3338779066601316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_148-2,Benign neoplasm of meninges (Meningioma),121,7,9,6,5,9,15,19,17,11,23,3.2862511671335204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_149,Benign neoplasm of the endocrine glands,219,14,13,25,19,22,22,26,21,25,32,2.2860883184889076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoplasms,phecode_149-3,Benign neoplasm of the parathyroid gland,109,10,4,2,13,9,17,14,12,16,12,1.2001959823615873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_160,Nutritional anemias,2876,131,191,207,241,241,260,319,336,433,517,3.94723232417122,338,15,19,20,38,26,34,30,53,33,55,3.671780567178057
Blood,phecode_160-1,Iron deficiency anemia,2600,115,136,183,211,245,233,291,322,383,481,4.183313075695228,326,13,20,18,39,27,29,33,49,33,53,4.082601242768373
Blood,phecode_160-2,Megaloblastic anemia,417,15,28,29,28,40,40,40,64,58,75,5.00081994096425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_162,Aplastic anemia,151,4,8,4,14,12,14,23,14,21,37,9.251510944135903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_164,Anemia,4887,199,256,330,360,424,507,508,632,735,936,4.7043336041763295,648,25,31,33,51,58,55,68,93,69,102,4.085811965811966
Blood,phecode_164-1,Microcytic anemia,2603,117,140,188,207,246,232,292,323,371,487,4.163094138001514,326,13,20,19,39,26,28,34,48,34,53,4.082601242768373
Blood,phecode_164-2,Macrocytic anemia,444,15,29,30,33,39,46,46,64,57,85,5.667596543047806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_164-6,Anemia secondary to chronic diseases and conditions,154,1,7,6,7,10,14,22,18,35,34,34.00557742782152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_165,Hemoglobinopathies,136,1,1,6,1,1,5,6,6,10,99,99.01621887287025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_168,"Coagulation defects, purpura and other hemorrhagic conditions",812,48,58,61,57,87,87,89,104,106,115,2.3962279690331085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_168-1,Hypo-coagulability,446,21,30,32,26,40,54,42,67,61,73,3.4767608109691786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_168-19,Spontaneous ecchymoses,258,13,18,21,27,25,31,31,28,30,34,2.6158130859965723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_168-2,Hyper-coagulability,123,9,12,13,14,13,15,10,13,9,15,1.6666666666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_168-4,Abnormal coagulation profile,147,6,4,9,3,9,14,23,23,26,30,5.0008168599901985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
