phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+Retina,delta,epic_agesex,epic_agesexretina,epic_delta,sign_ukb,sign_epic,sign
Neuro,phecode_331,Headache,"0.567 (0.559, 0.58)","0.59 (0.582, 0.603)","0.023 (0.014, 0.032)","0.588 (0.561, 0.609)","0.577 (0.555, 0.6)","-0.008 (-0.014, -0.004)",+,-,+|-
Signs/Symptoms,phecode_829,Nonspecific findings on examination of blood,"0.701 (0.694, 0.709)","0.705 (0.698, 0.713)","0.003 (0.001, 0.006)","0.659 (0.618, 0.684)","0.652 (0.607, 0.674)","-0.007 (-0.013, -0.001)",+,-,+|-
Musc/Skel,phecode_715-1,Spondylosis,"0.639 (0.629, 0.649)","0.649 (0.64, 0.659)","0.01 (0.004, 0.015)","0.602 (0.59, 0.612)","0.593 (0.577, 0.605)","-0.008 (-0.013, -0.006)",+,-,+|-
Signs/Symptoms,phecode_800,Chest pain,"0.528 (0.52, 0.536)","0.553 (0.546, 0.561)","0.024 (0.017, 0.032)","0.548 (0.529, 0.576)","0.541 (0.517, 0.569)","-0.008 (-0.013, -0.005)",+,-,+|-
Cardio,phecode_448,Peripheral vascular disease,"0.656 (0.64, 0.671)","0.679 (0.664, 0.693)","0.023 (0.013, 0.035)","0.702 (0.678, 0.742)","0.697 (0.678, 0.747)","0.001 (-0.012, 0.007)",+,ns,+|ns
Neoplasms,phecode_107,Malignant neoplasm of male genitalia,"0.686 (0.676, 0.698)","0.685 (0.674, 0.697)","-0.001 (-0.003, 0.001)","0.532 (0.52, 0.55)","0.531 (0.514, 0.549)","-0.001 (-0.01, 0.002)",ns,ns,ns|ns
Neoplasms,phecode_107-2,Malignant neoplasm of the prostate,"0.691 (0.681, 0.7)","0.69 (0.68, 0.698)","-0.001 (-0.002, 0.001)","0.52 (0.494, 0.576)","0.524 (0.498, 0.567)","0.001 (-0.01, 0.013)",ns,ns,ns|ns
GI,phecode_516,Other diseases of stomach and duodenum,"0.571 (0.556, 0.588)","0.586 (0.567, 0.601)","0.013 (0.001, 0.026)","0.533 (0.496, 0.549)","0.525 (0.499, 0.549)","-0.003 (-0.01, 0.01)",+,ns,+|ns
Neuro,phecode_336,Mononeuropathies,"0.556 (0.546, 0.568)","0.576 (0.566, 0.583)","0.02 (0.009, 0.027)","0.506 (0.476, 0.528)","0.507 (0.478, 0.527)","0 (-0.01, 0.013)",+,ns,+|ns
Neoplasms,phecode_101-41,Malignant neoplasm of the colon,"0.685 (0.671, 0.7)","0.682 (0.669, 0.7)","-0.001 (-0.006, 0.005)","0.587 (0.56, 0.623)","0.583 (0.552, 0.618)","-0.006 (-0.009, -0.003)",ns,-,ns|-
Mental,phecode_288,Anxiety disorders,"0.58 (0.572, 0.591)","0.597 (0.588, 0.606)","0.016 (0.009, 0.022)","0.589 (0.561, 0.61)","0.591 (0.565, 0.603)","0 (-0.009, 0.006)",+,ns,+|ns
GI,phecode_510,Diseases of esophagus,"0.599 (0.592, 0.606)","0.599 (0.591, 0.606)","0 (-0.004, 0.005)","0.62 (0.582, 0.636)","0.621 (0.584, 0.632)","-0.001 (-0.008, 0.006)",ns,ns,ns|ns
Musc/Skel,phecode_708-1,Primary osteoarthritis,"0.606 (0.593, 0.617)","0.605 (0.594, 0.615)","-0.001 (-0.005, 0.004)","0.56 (0.548, 0.577)","0.556 (0.542, 0.574)","-0.006 (-0.007, -0.002)",ns,-,ns|-
GI,phecode_520-2,Diaphragmatic hernia [Hiatal hernia],"0.608 (0.602, 0.613)","0.61 (0.604, 0.617)","0.003 (0, 0.006)","0.592 (0.584, 0.602)","0.589 (0.581, 0.598)","-0.003 (-0.007, 0)",ns,ns,ns|ns
Derm,phecode_678,Other skin and connective tissue disorders,"0.596 (0.58, 0.612)","0.601 (0.582, 0.617)","0.005 (-0.002, 0.012)","0.614 (0.606, 0.637)","0.613 (0.604, 0.64)","-0.001 (-0.007, 0.004)",ns,ns,ns|ns
Musc/Skel,phecode_708-7,Generalized osteoarthritis,"0.632 (0.621, 0.642)","0.636 (0.625, 0.649)","0.005 (-0.002, 0.014)","0.586 (0.541, 0.626)","0.585 (0.535, 0.622)","-0.004 (-0.007, 0)",ns,ns,ns|ns
GI,phecode_550-1,Gallstones [Cholelithiasis],"0.556 (0.546, 0.567)","0.573 (0.561, 0.582)","0.016 (0.006, 0.024)","0.58 (0.557, 0.595)","0.577 (0.565, 0.602)","0.006 (-0.007, 0.011)",+,ns,+|ns
Neuro,phecode_324,Extrapyramidal and movement disorders,"0.655 (0.643, 0.67)","0.66 (0.649, 0.677)","0.005 (-0.002, 0.016)","0.638 (0.6, 0.658)","0.635 (0.595, 0.656)","-0.004 (-0.006, -0.002)",ns,-,ns|-
Neoplasms,phecode_108-5,Malignant neoplasm of the bladder,"0.743 (0.721, 0.764)","0.739 (0.718, 0.764)","-0.004 (-0.009, 0.004)","0.72 (0.686, 0.746)","0.716 (0.683, 0.747)","-0.003 (-0.005, 0.002)",ns,ns,ns|ns
GI,phecode_556,Other symptoms involving the digestive system and abdomen,"0.599 (0.582, 0.614)","0.602 (0.583, 0.618)","0.003 (-0.009, 0.012)","0.54 (0.53, 0.545)","0.542 (0.528, 0.552)","0.001 (-0.005, 0.007)",ns,ns,ns|ns
Metab,phecode_247-7,Disorders of iron metabolism,"0.586 (0.576, 0.597)","0.611 (0.601, 0.621)","0.025 (0.016, 0.032)","0.62 (0.599, 0.635)","0.618 (0.605, 0.637)","0.004 (-0.005, 0.008)",+,ns,+|ns
Cardio,phecode_438,Aneurysm or ectasia,"0.71 (0.693, 0.726)","0.714 (0.696, 0.734)","0.004 (-0.004, 0.012)","0.745 (0.72, 0.754)","0.745 (0.72, 0.751)","-0.001 (-0.004, 0.001)",ns,ns,ns|ns
Cardio,phecode_413,Heart valve disorders,"0.719 (0.71, 0.729)","0.723 (0.714, 0.734)","0.004 (-0.002, 0.008)","0.7 (0.687, 0.711)","0.7 (0.686, 0.712)","0.002 (-0.004, 0.01)",ns,ns,ns|ns
Cardio,phecode_404-1,Myocardial infarction [Heart attack],"0.722 (0.715, 0.732)","0.728 (0.721, 0.738)","0.006 (0.001, 0.01)","0.712 (0.703, 0.741)","0.709 (0.701, 0.738)","-0.003 (-0.004, -0.002)",+,-,+|-
Signs/Symptoms,phecode_815,Symptoms and signs concerning food and fluid intake,"0.713 (0.688, 0.745)","0.726 (0.689, 0.756)","0.011 (-0.016, 0.033)","0.599 (0.579, 0.618)","0.598 (0.578, 0.618)","-0.001 (-0.004, 0)",ns,ns,ns|ns
Musc/Skel,phecode_707,Other arthropathies,"0.652 (0.648, 0.658)","0.668 (0.662, 0.674)","0.015 (0.011, 0.018)","0.572 (0.563, 0.582)","0.59 (0.572, 0.595)","0.017 (-0.004, 0.025)",+,ns,+|ns
Neuro,phecode_329-9,Delirium,"0.752 (0.732, 0.765)","0.768 (0.757, 0.784)","0.018 (0.006, 0.032)","0.799 (0.779, 0.814)","0.799 (0.78, 0.815)","0 (-0.004, 0.003)",+,ns,+|ns
GI,phecode_550,Disorders of the gallbladder,"0.555 (0.546, 0.568)","0.575 (0.565, 0.586)","0.02 (0.009, 0.029)","0.565 (0.54, 0.596)","0.563 (0.544, 0.597)","0.001 (-0.004, 0.006)",+,ns,+|ns
ID,phecode_089-2,Viral infections,"0.564 (0.553, 0.576)","0.588 (0.575, 0.601)","0.024 (0.01, 0.034)","0.601 (0.581, 0.617)","0.601 (0.583, 0.618)","0 (-0.004, 0.006)",+,ns,+|ns
GI,phecode_524,Functional intestinal disorder,"0.579 (0.568, 0.589)","0.606 (0.595, 0.619)","0.027 (0.021, 0.034)","0.639 (0.62, 0.654)","0.635 (0.617, 0.651)","-0.003 (-0.004, -0.002)",+,-,+|-
Derm,phecode_660-6,Cellulitis and abscess,"0.575 (0.563, 0.586)","0.604 (0.592, 0.614)","0.028 (0.02, 0.039)","0.67 (0.657, 0.699)","0.679 (0.66, 0.699)","0.004 (-0.004, 0.012)",+,ns,+|ns
Neuro,phecode_330,"Epilepsy, recurrent seizures, convulsions","0.572 (0.554, 0.589)","0.602 (0.588, 0.617)","0.03 (0.013, 0.047)","0.621 (0.587, 0.653)","0.621 (0.585, 0.653)","-0.001 (-0.004, 0.002)",+,ns,+|ns
Mental,phecode_286-2,Major depressive disorder,"0.545 (0.538, 0.552)","0.605 (0.597, 0.611)","0.059 (0.052, 0.069)","0.569 (0.537, 0.586)","0.57 (0.54, 0.586)","0.003 (-0.004, 0.007)",+,ns,+|ns
Neoplasms,phecode_120,Hemo onc - by cell of origin,"0.668 (0.654, 0.683)","0.662 (0.648, 0.679)","-0.006 (-0.012, -0.001)","0.631 (0.6, 0.678)","0.629 (0.599, 0.679)","-0.002 (-0.003, 0.001)",-,ns,-|ns
Neuro,phecode_328-9,Dementia NOS,"0.783 (0.768, 0.805)","0.78 (0.764, 0.798)","-0.002 (-0.01, 0.005)","0.818 (0.803, 0.827)","0.818 (0.803, 0.829)","0.002 (-0.003, 0.007)",ns,ns,ns|ns
Cardio,phecode_404-11,Acute myocardial infarction,"0.703 (0.694, 0.715)","0.702 (0.693, 0.714)","-0.001 (-0.006, 0.005)","0.708 (0.695, 0.73)","0.707 (0.693, 0.728)","-0.002 (-0.003, -0.001)",ns,-,ns|-
Genitourinary,phecode_600,Benign prostatic hyperplasia,"0.693 (0.685, 0.7)","0.693 (0.685, 0.7)","0 (-0.002, 0.001)","0.619 (0.594, 0.631)","0.618 (0.593, 0.63)","-0.001 (-0.003, -0.001)",ns,-,ns|-
Cardio,phecode_400-2,Chronic rheumatic heart diseases,"0.721 (0.711, 0.733)","0.723 (0.71, 0.734)","0.001 (-0.007, 0.007)","0.644 (0.619, 0.667)","0.656 (0.638, 0.67)","0.011 (-0.003, 0.029)",ns,ns,ns|ns
Cardio,phecode_413-2,Aortic valve disorders,"0.744 (0.733, 0.756)","0.746 (0.734, 0.758)","0.002 (-0.005, 0.007)","0.721 (0.709, 0.755)","0.724 (0.714, 0.763)","0.007 (-0.003, 0.01)",ns,ns,ns|ns
ID,phecode_092,"Bacteremia, Sepsis, and SIRS","0.674 (0.663, 0.682)","0.677 (0.667, 0.686)","0.003 (-0.002, 0.009)","0.678 (0.661, 0.688)","0.677 (0.66, 0.687)","0 (-0.003, 0.002)",ns,ns,ns|ns
ID,phecode_092-2,Sepsis,"0.671 (0.66, 0.682)","0.675 (0.664, 0.684)","0.004 (-0.005, 0.011)","0.673 (0.651, 0.691)","0.672 (0.649, 0.691)","-0.001 (-0.003, 0.002)",ns,ns,ns|ns
GI,phecode_511,Gastro-esophageal reflux disease,"0.571 (0.566, 0.577)","0.576 (0.571, 0.582)","0.005 (0.001, 0.008)","0.54 (0.522, 0.549)","0.538 (0.521, 0.547)","-0.001 (-0.003, 0)",+,ns,+|ns
Genitourinary,phecode_596,Other disorders of bladder,"0.644 (0.632, 0.657)","0.648 (0.636, 0.66)","0.005 (0, 0.009)","0.685 (0.658, 0.708)","0.689 (0.663, 0.712)","0.004 (-0.003, 0.007)",ns,ns,ns|ns
Musc/Skel,phecode_708,Osteoarthritis,"0.637 (0.633, 0.642)","0.643 (0.638, 0.647)","0.005 (0.004, 0.007)","0.592 (0.586, 0.601)","0.59 (0.586, 0.599)","-0.002 (-0.003, 0)",+,ns,+|ns
Derm,phecode_673,Skin changes due to chronic exposure to nonionizing radiation,"0.679 (0.661, 0.695)","0.685 (0.667, 0.702)","0.006 (0.002, 0.01)","0.579 (0.556, 0.593)","0.58 (0.554, 0.596)","0.002 (-0.003, 0.01)",+,ns,+|ns
Hearing,phecode_396,Hearing impairment,"0.678 (0.666, 0.69)","0.684 (0.672, 0.697)","0.006 (0.002, 0.011)","0.663 (0.643, 0.679)","0.662 (0.641, 0.678)","-0.002 (-0.003, -0.001)",+,-,+|-
Blood,phecode_181,Autoimmune disease,"0.575 (0.566, 0.587)","0.586 (0.576, 0.597)","0.012 (0.004, 0.02)","0.562 (0.539, 0.584)","0.581 (0.542, 0.598)","0.019 (-0.003, 0.044)",+,ns,+|ns
Musc/Skel,phecode_718,Back pain,"0.583 (0.574, 0.593)","0.603 (0.594, 0.612)","0.021 (0.013, 0.028)","0.567 (0.55, 0.585)","0.565 (0.548, 0.583)","-0.002 (-0.003, -0.002)",+,-,+|-
Neuro,phecode_325-2,Abnormality of gait and mobility,"0.683 (0.671, 0.697)","0.713 (0.703, 0.73)","0.03 (0.02, 0.041)","0.772 (0.754, 0.787)","0.771 (0.752, 0.784)","-0.001 (-0.003, 0.001)",+,ns,+|ns
Neuro,phecode_325,Symptoms and signs related to movement disorders,"0.673 (0.66, 0.687)","0.704 (0.692, 0.718)","0.03 (0.022, 0.039)","0.753 (0.723, 0.776)","0.753 (0.721, 0.774)","-0.001 (-0.003, 0.002)",+,ns,+|ns
Endo,phecode_202-2,Type 2 diabetes,"0.636 (0.631, 0.643)","0.71 (0.705, 0.715)","0.073 (0.068, 0.079)","0.609 (0.587, 0.628)","0.629 (0.609, 0.647)","0.021 (-0.003, 0.028)",+,ns,+|ns
Genitourinary,phecode_594-1,Retention of urine,"0.734 (0.726, 0.743)","0.732 (0.724, 0.741)","-0.002 (-0.004, 0)","0.733 (0.722, 0.747)","0.733 (0.72, 0.746)","-0.001 (-0.002, 0.001)",ns,ns,ns|ns
GI,phecode_532,Other disorders of the intestines,"0.559 (0.541, 0.573)","0.557 (0.539, 0.571)","-0.001 (-0.015, 0.01)","0.553 (0.542, 0.573)","0.559 (0.541, 0.585)","0.006 (-0.002, 0.022)",ns,ns,ns|ns
Genitourinary,phecode_593,Hematuria,"0.646 (0.633, 0.658)","0.646 (0.633, 0.658)","-0.001 (-0.004, 0.002)","0.631 (0.612, 0.66)","0.631 (0.612, 0.66)","0 (-0.002, 0.003)",ns,ns,ns|ns
Neoplasms,phecode_116,Secondary malignant neoplasm,"0.656 (0.649, 0.666)","0.657 (0.648, 0.667)","0.001 (-0.004, 0.006)","0.595 (0.578, 0.608)","0.595 (0.581, 0.607)","0.002 (-0.002, 0.005)",ns,ns,ns|ns
GI,phecode_520,Hernia,"0.624 (0.619, 0.63)","0.625 (0.62, 0.631)","0.001 (-0.001, 0.003)","0.605 (0.593, 0.621)","0.604 (0.596, 0.62)","0 (-0.002, 0.003)",ns,ns,ns|ns
Cardio,phecode_416-4,Heart block,"0.73 (0.722, 0.74)","0.732 (0.722, 0.74)","0.001 (-0.002, 0.004)","0.74 (0.732, 0.758)","0.743 (0.731, 0.758)","0 (-0.002, 0.004)",ns,ns,ns|ns
Neoplasms,phecode_112,Malignant neoplasm of other and ill-defined sites,"0.656 (0.649, 0.663)","0.657 (0.65, 0.665)","0.001 (-0.001, 0.003)","0.625 (0.605, 0.638)","0.626 (0.607, 0.64)","0.001 (-0.002, 0.004)",ns,ns,ns|ns
GI,phecode_523,Diverticular disease [Bowel diverticulosis],"0.629 (0.624, 0.634)","0.631 (0.626, 0.635)","0.002 (0, 0.004)","0.566 (0.559, 0.59)","0.567 (0.56, 0.588)","0 (-0.002, 0.002)",ns,ns,ns|ns
Cardio,phecode_431,Stroke and transient cerebral ischemic attacks,"0.703 (0.691, 0.711)","0.705 (0.695, 0.715)","0.002 (-0.004, 0.01)","0.706 (0.689, 0.721)","0.705 (0.689, 0.72)","-0.001 (-0.002, 0.001)",ns,ns,ns|ns
Endo,phecode_200-1,Hypothyroidism,"0.672 (0.663, 0.678)","0.674 (0.665, 0.682)","0.003 (0.001, 0.005)","0.652 (0.643, 0.666)","0.655 (0.647, 0.664)","0.004 (-0.002, 0.006)",+,ns,+|ns
Neoplasms,phecode_108,Malignant neoplasm of the urinary tract,"0.719 (0.706, 0.735)","0.723 (0.71, 0.737)","0.003 (-0.001, 0.009)","0.699 (0.684, 0.73)","0.701 (0.684, 0.73)","0 (-0.002, 0.004)",ns,ns,ns|ns
Musc/Skel,phecode_726-1,Osteoporosis,"0.762 (0.755, 0.771)","0.766 (0.758, 0.774)","0.004 (0.002, 0.006)","0.749 (0.737, 0.784)","0.75 (0.739, 0.788)","0.002 (-0.002, 0.006)",+,ns,+|ns
Cardio,phecode_431-1,Stroke,"0.706 (0.692, 0.716)","0.71 (0.697, 0.723)","0.004 (-0.004, 0.011)","0.716 (0.698, 0.724)","0.715 (0.698, 0.723)","-0.001 (-0.002, 0)",ns,ns,ns|ns
Cardio,phecode_426,Other heart disorders in diseases NEC,"0.71 (0.695, 0.723)","0.713 (0.698, 0.729)","0.005 (-0.007, 0.014)","0.667 (0.647, 0.692)","0.673 (0.649, 0.695)","0.003 (-0.002, 0.012)",ns,ns,ns|ns
Cardio,phecode_431-11,Cerebral infarction [Ischemic stroke],"0.721 (0.708, 0.728)","0.726 (0.715, 0.736)","0.006 (-0.003, 0.014)","0.716 (0.7, 0.74)","0.715 (0.699, 0.739)","-0.001 (-0.002, 0)",ns,ns,ns|ns
Neuro,phecode_329,Symptoms and signs involving cognitive functions and awareness,"0.704 (0.695, 0.714)","0.714 (0.702, 0.725)","0.009 (0.002, 0.017)","0.777 (0.761, 0.792)","0.777 (0.763, 0.792)","0 (-0.002, 0.004)",+,ns,+|ns
Neoplasms,phecode_103,Malignant neoplasm of the skin,"0.662 (0.655, 0.671)","0.671 (0.665, 0.681)","0.01 (0.007, 0.013)","0.632 (0.622, 0.641)","0.632 (0.62, 0.64)","-0.001 (-0.002, 0)",+,ns,+|ns
GI,phecode_512,Dysphagia,"0.57 (0.558, 0.581)","0.58 (0.569, 0.592)","0.01 (0.002, 0.02)","0.609 (0.593, 0.619)","0.609 (0.593, 0.618)","0 (-0.002, 0.002)",+,ns,+|ns
Musc/Skel,phecode_715,Non-inflammatory spondylopathy,"0.639 (0.63, 0.646)","0.65 (0.642, 0.659)","0.012 (0.007, 0.017)","0.615 (0.585, 0.624)","0.62 (0.587, 0.628)","0.001 (-0.002, 0.008)",+,ns,+|ns
Eye,phecode_361,Disorders of eyelid function,"0.681 (0.661, 0.698)","0.694 (0.675, 0.713)","0.014 (0.003, 0.023)","0.638 (0.612, 0.688)","0.637 (0.611, 0.687)","-0.001 (-0.002, 0.001)",+,ns,+|ns
Metab,phecode_244,Disorders of lipoprotein metabolism and other lipidemias,"0.602 (0.573, 0.635)","0.644 (0.606, 0.684)","0.04 (0.015, 0.071)","0.596 (0.571, 0.614)","0.594 (0.572, 0.614)","-0.001 (-0.002, 0.001)",+,ns,+|ns
Neuro,phecode_328,Dementias and cerebral degeneration,"0.788 (0.779, 0.803)","0.787 (0.777, 0.801)","-0.001 (-0.009, 0.004)","0.802 (0.797, 0.813)","0.804 (0.797, 0.816)","0.003 (-0.001, 0.004)",ns,ns,ns|ns
Signs/Symptoms,phecode_808,Syncope and collapse,"0.637 (0.626, 0.648)","0.636 (0.624, 0.646)","-0.001 (-0.005, 0.004)","0.674 (0.656, 0.695)","0.674 (0.655, 0.694)","-0.001 (-0.001, 0)",ns,ns,ns|ns
Genitourinary,phecode_594,Abnormality of urination,"0.661 (0.655, 0.67)","0.661 (0.654, 0.668)","-0.001 (-0.004, 0.002)","0.717 (0.703, 0.729)","0.717 (0.704, 0.731)","0.001 (-0.001, 0.003)",ns,ns,ns|ns
Neoplasms,phecode_130,"Cancer (solid tumor, excluding BCC)","0.644 (0.64, 0.648)","0.645 (0.642, 0.649)","0.001 (0, 0.003)","0.611 (0.599, 0.623)","0.612 (0.6, 0.624)","0.001 (-0.001, 0.002)",ns,ns,ns|ns
Cardio,phecode_416,Cardiac arrhythmia and conduction disorders,"0.719 (0.713, 0.725)","0.723 (0.717, 0.728)","0.003 (0.002, 0.005)","0.712 (0.701, 0.718)","0.715 (0.702, 0.72)","0.002 (-0.001, 0.004)",+,ns,+|ns
Musc/Skel,phecode_726,Osteoporosis and low bone density,"0.756 (0.745, 0.766)","0.76 (0.75, 0.769)","0.004 (0.001, 0.005)","0.757 (0.732, 0.774)","0.758 (0.734, 0.775)","0.001 (-0.001, 0.003)",+,ns,+|ns
Cardio,phecode_404,Ischemic heart disease,"0.703 (0.697, 0.708)","0.707 (0.701, 0.713)","0.005 (0.002, 0.007)","0.684 (0.665, 0.695)","0.685 (0.666, 0.695)","0.001 (-0.001, 0.003)",+,ns,+|ns
Musc/Skel,phecode_705,Rheumatoid arthritis and other inflammatory polyarthropathies,"0.654 (0.644, 0.667)","0.659 (0.646, 0.673)","0.006 (0.001, 0.01)","0.596 (0.548, 0.644)","0.61 (0.573, 0.647)","0.019 (-0.001, 0.031)",+,ns,+|ns
GI,phecode_527,Abdominal pain,"0.547 (0.541, 0.554)","0.556 (0.548, 0.562)","0.009 (0.005, 0.013)","0.555 (0.541, 0.565)","0.556 (0.542, 0.569)","0.002 (-0.001, 0.004)",+,ns,+|ns
Cardio,phecode_417,Abnormalities of heart beat,"0.595 (0.585, 0.605)","0.605 (0.595, 0.613)","0.009 (0.003, 0.015)","0.653 (0.637, 0.669)","0.654 (0.64, 0.672)","0.003 (-0.001, 0.009)",+,ns,+|ns
ID,phecode_089,Infections,"0.612 (0.604, 0.618)","0.622 (0.614, 0.629)","0.011 (0.005, 0.017)","0.676 (0.645, 0.685)","0.68 (0.654, 0.691)","0.006 (-0.001, 0.009)",+,ns,+|ns
Signs/Symptoms,phecode_819,General symptoms and other findings,"0.689 (0.683, 0.696)","0.701 (0.694, 0.707)","0.011 (0.006, 0.016)","0.694 (0.67, 0.724)","0.698 (0.675, 0.725)","0.004 (-0.001, 0.007)",+,ns,+|ns
ID,phecode_089-1,Bacterial infections,"0.625 (0.616, 0.635)","0.636 (0.628, 0.644)","0.011 (0.004, 0.017)","0.711 (0.701, 0.729)","0.716 (0.703, 0.736)","0.004 (-0.001, 0.009)",+,ns,+|ns
Musc/Skel,phecode_705-1,Rheumatoid arthritis,"0.626 (0.612, 0.642)","0.64 (0.625, 0.657)","0.013 (0.006, 0.02)","0.594 (0.563, 0.62)","0.607 (0.574, 0.632)","0.017 (-0.001, 0.04)",+,ns,+|ns
Metab,phecode_256-7,Volume depletion,"0.67 (0.656, 0.682)","0.686 (0.676, 0.7)","0.017 (0.007, 0.027)","0.726 (0.717, 0.738)","0.726 (0.717, 0.739)","0 (-0.001, 0.002)",+,ns,+|ns
Musc/Skel,phecode_700,Diffuse diseases of connective tissue,"0.662 (0.635, 0.685)","0.68 (0.653, 0.707)","0.019 (-0.003, 0.038)","0.63 (0.61, 0.643)","0.631 (0.613, 0.643)","0 (-0.001, 0.004)",ns,ns,ns|ns
GI,phecode_526,Intestinal infection,"0.591 (0.582, 0.599)","0.609 (0.6, 0.618)","0.019 (0.011, 0.026)","0.659 (0.634, 0.672)","0.66 (0.634, 0.672)","0.001 (-0.001, 0.003)",+,ns,+|ns
Cardio,phecode_433,Other cerebrovascular disease,"0.733 (0.721, 0.745)","0.753 (0.742, 0.764)","0.02 (0.012, 0.027)","0.768 (0.757, 0.79)","0.769 (0.757, 0.793)","0 (-0.001, 0.003)",+,ns,+|ns
Mental,phecode_286,Mood [affective] disorders,"0.543 (0.532, 0.55)","0.6 (0.592, 0.608)","0.058 (0.051, 0.064)","0.559 (0.544, 0.587)","0.564 (0.546, 0.588)","0.001 (-0.001, 0.007)",+,ns,+|ns
Genitourinary,phecode_599,Other symptoms/disorders or the urinary system,"0.652 (0.636, 0.669)","0.645 (0.63, 0.66)","-0.007 (-0.013, -0.002)","0.7 (0.689, 0.711)","0.7 (0.689, 0.711)","0 (0, 0.001)",-,ns,-|ns
Cardio,phecode_400,Rheumatic fever and chronic rheumatic heart diseases,"0.72 (0.709, 0.731)","0.721 (0.707, 0.734)","0.001 (-0.005, 0.008)","0.658 (0.617, 0.694)","0.662 (0.634, 0.706)","0.007 (0, 0.021)",ns,ns,ns|ns
Cardio,phecode_416-2,Atrial fibrillation and flutter,"0.739 (0.734, 0.746)","0.743 (0.737, 0.749)","0.004 (0.001, 0.006)","0.703 (0.695, 0.712)","0.704 (0.697, 0.712)","0.001 (0, 0.002)",+,ns,+|ns
GI,phecode_522-9,Gastritis,"0.579 (0.571, 0.588)","0.585 (0.578, 0.595)","0.006 (0.001, 0.011)","0.563 (0.553, 0.585)","0.566 (0.554, 0.585)","0.002 (0, 0.005)",+,ns,+|ns
Cardio,phecode_444,Venous insufficiency,"0.592 (0.581, 0.606)","0.599 (0.588, 0.61)","0.007 (-0.003, 0.016)","0.533 (0.518, 0.549)","0.561 (0.524, 0.577)","0.025 (0, 0.041)",ns,ns,ns|ns
