phecode_category,phecode, phecode_string, 1_,2_,3_,4_,5_,6_,7_,8_,9_,10_,1,2,3,4,5,6,7,8,9,10, rr
Neoplasms,phecode_139-61,Hemangioma,42,43,54,45,56,42,46,42,70,48,0.007,0.007,0.009,0.007,0.009,0.007,0.008,0.007,0.012,0.008,1.143
Derm,phecode_660-2,Bacterial infection of the skin,45,41,64,48,42,56,58,51,51,52,0.007,0.007,0.011,0.008,0.007,0.009,0.01,0.008,0.008,0.009,1.156
Neoplasms,phecode_139-6,Hemangioma and lymphangioma,42,43,51,47,56,44,47,53,62,49,0.007,0.007,0.008,0.008,0.009,0.007,0.008,0.009,0.01,0.008,1.167
Hearing,phecode_397,Other hearing abnormality,214,221,221,250,230,255,271,239,225,250,0.036,0.037,0.037,0.042,0.039,0.043,0.046,0.04,0.038,0.042,1.168
GI,phecode_540-3,Viral hepatitits,17,10,2,11,10,10,12,10,10,20,0.003,0.002,0,0.002,0.002,0.002,0.002,0.002,0.002,0.003,1.176
GI,phecode_500-4,Disturbances in tooth eruption,17,9,7,18,13,13,19,14,22,20,0.003,0.001,0.001,0.003,0.002,0.002,0.003,0.002,0.004,0.003,1.177
Resp,phecode_486-21,Bronchospasm,17,11,14,11,13,13,9,17,19,20,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.003,0.003,0.003,1.177
ID,phecode_054,Hepatovirus,17,11,1,10,11,9,11,12,9,20,0.003,0.002,0,0.002,0.002,0.001,0.002,0.002,0.001,0.003,1.177
Hearing,phecode_397-1,Tinnitus,209,224,212,238,228,253,251,241,229,248,0.035,0.038,0.036,0.04,0.039,0.043,0.042,0.041,0.039,0.042,1.187
Musc/Skel,phecode_709-1,Acquired deformities of fingers,16,20,28,20,14,20,30,26,26,19,0.003,0.003,0.005,0.003,0.002,0.003,0.005,0.004,0.004,0.003,1.188
Derm,phecode_676,Hypertrophic conditions of skin,209,201,200,198,208,210,230,226,231,249,0.036,0.034,0.034,0.034,0.036,0.036,0.039,0.039,0.039,0.043,1.192
Derm,phecode_668-6,Prurigo,14,9,10,16,10,15,22,19,17,17,0.002,0.001,0.002,0.003,0.002,0.002,0.004,0.003,0.003,0.003,1.214
GI,phecode_500,Disorders of tooth develoment,14,15,11,16,15,15,18,18,22,17,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.004,0.003,1.214
Eye,phecode_367-2,Keratitis,28,29,30,26,34,27,33,32,36,34,0.005,0.005,0.005,0.004,0.006,0.004,0.005,0.005,0.006,0.006,1.214
Genitourinary,phecode_624-2,Atrophy of female genital tract,14,20,20,14,25,26,25,30,16,17,0.004,0.006,0.006,0.004,0.008,0.008,0.008,0.009,0.005,0.005,1.215
Resp,phecode_463-4,Nasal congestion*,139,143,147,159,158,144,161,166,162,169,0.023,0.024,0.024,0.026,0.026,0.024,0.027,0.027,0.027,0.028,1.216
Eye,phecode_379-2,"Eye infection, viral",23,29,18,20,30,32,31,31,42,28,0.004,0.005,0.003,0.003,0.005,0.005,0.005,0.005,0.007,0.005,1.218
GI,phecode_509,Diseases of tongue,93,102,73,85,105,100,127,103,123,114,0.015,0.017,0.012,0.014,0.017,0.017,0.021,0.017,0.02,0.019,1.226
Eye,phecode_366-42,Conjunctival hyperemia,13,5,10,12,16,15,20,9,16,16,0.002,0.001,0.002,0.002,0.003,0.002,0.003,0.001,0.003,0.003,1.231
ID,phecode_056,Human papillomavirus,203,253,242,222,245,238,250,239,255,250,0.036,0.044,0.042,0.039,0.043,0.042,0.044,0.042,0.045,0.044,1.232
Genitourinary,phecode_622-1,Polyp of corpus uteri,56,62,64,68,64,64,61,57,65,69,0.017,0.019,0.02,0.021,0.02,0.02,0.019,0.018,0.02,0.021,1.233
Signs/Symptoms,phecode_800-11,Pleurodynia*,86,100,88,108,99,104,104,121,110,106,0.014,0.017,0.015,0.018,0.016,0.017,0.017,0.02,0.018,0.018,1.233
Musc/Skel,phecode_731,Symptoms involving musculoskeletal systems,133,132,124,137,144,137,138,152,133,164,0.022,0.022,0.021,0.023,0.024,0.023,0.023,0.025,0.022,0.027,1.233
Eye,phecode_360-11,Hordeolum externum,126,128,129,151,153,139,127,161,138,156,0.021,0.021,0.021,0.025,0.025,0.023,0.021,0.027,0.023,0.026,1.238
Genitourinary,phecode_608,Other disorders of male genital organs,210,262,266,242,244,252,264,237,248,260,0.083,0.104,0.105,0.096,0.097,0.1,0.105,0.094,0.098,0.103,1.239
Musc/Skel,phecode_723-5,Tendinitis,137,150,138,156,130,143,162,151,158,170,0.023,0.025,0.023,0.026,0.022,0.024,0.027,0.025,0.026,0.028,1.241
GI,phecode_526-1,Bacterial enteritis,99,85,101,93,103,115,118,107,119,123,0.016,0.014,0.017,0.015,0.017,0.019,0.02,0.018,0.02,0.02,1.243
Eye,phecode_360-2,Chalazion,82,85,110,82,96,91,104,110,90,102,0.014,0.014,0.018,0.014,0.016,0.015,0.017,0.018,0.015,0.017,1.244
Eye,phecode_360-12,Hordeolum internum,24,12,16,15,34,27,26,23,32,30,0.004,0.002,0.003,0.002,0.006,0.004,0.004,0.004,0.005,0.005,1.25
ID,phecode_030,Campylobacter,36,36,38,46,42,39,50,37,38,45,0.006,0.006,0.006,0.008,0.007,0.006,0.008,0.006,0.006,0.007,1.25
Eye,phecode_360-1,Hordeolum,123,133,114,158,164,136,133,155,138,154,0.02,0.022,0.019,0.026,0.027,0.023,0.022,0.026,0.023,0.026,1.252
ID,phecode_089,Infections,1030,1129,1126,1246,1188,1228,1140,1226,1247,1302,0.277,0.304,0.303,0.336,0.32,0.331,0.307,0.33,0.336,0.351,1.264
ID,phecode_056-1,Plantar wart,67,71,75,90,93,71,100,89,99,85,0.011,0.012,0.013,0.015,0.016,0.012,0.017,0.015,0.017,0.014,1.269
Resp,phecode_471,Other disorders of nose and nasal sinuses,310,342,346,346,350,340,380,351,352,396,0.054,0.06,0.061,0.061,0.061,0.059,0.066,0.061,0.062,0.069,1.278
Genitourinary,phecode_593-3,Recurrent and persistent hematuria*,7,7,14,14,13,12,16,15,18,9,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.001,1.286
ID,phecode_095,Sequela of infection,21,25,19,29,21,15,24,24,36,27,0.003,0.004,0.003,0.005,0.003,0.002,0.004,0.004,0.006,0.004,1.286
Neoplasms,phecode_106,Gynecological malignant neoplasms,31,44,31,34,51,43,49,62,57,40,0.01,0.014,0.01,0.01,0.016,0.013,0.015,0.019,0.018,0.012,1.291
Genitourinary,phecode_613,Other nonmalignant breast conditions,215,216,205,204,203,213,237,236,206,278,0.072,0.073,0.069,0.069,0.068,0.072,0.08,0.08,0.069,0.094,1.293
Musc/Skel,phecode_712,Other specific joint derangements,67,79,76,79,77,54,63,87,77,87,0.011,0.013,0.013,0.013,0.013,0.009,0.01,0.014,0.013,0.014,1.299
ID,phecode_089-2,Viral infections,742,784,761,833,870,863,836,920,891,966,0.158,0.167,0.162,0.177,0.185,0.184,0.178,0.196,0.19,0.206,1.302
Musc/Skel,phecode_721-2,Ganglion cyst,139,152,155,148,168,176,170,178,184,181,0.023,0.026,0.026,0.025,0.028,0.03,0.029,0.03,0.031,0.03,1.302
Musc/Skel,phecode_713-4,Stiffness of joint,43,43,59,47,40,49,47,48,53,56,0.007,0.007,0.01,0.008,0.007,0.008,0.008,0.008,0.009,0.009,1.303
Musc/Skel,phecode_721,Synoviopathy and bursopathy,624,660,738,770,774,691,844,814,821,815,0.115,0.122,0.136,0.142,0.143,0.127,0.156,0.15,0.151,0.15,1.306
Neoplasms,phecode_139-52,Lipoma of intrathoracic organs,13,8,7,10,14,9,11,16,12,17,0.002,0.001,0.001,0.002,0.002,0.001,0.002,0.003,0.002,0.003,1.308
Musc/Skel,phecode_709-11,Mallet finger,13,12,15,14,14,16,17,22,14,17,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.002,0.003,1.308
Eye,phecode_379,Infection of the eye,26,26,22,14,36,33,36,44,40,34,0.004,0.004,0.004,0.002,0.006,0.005,0.006,0.007,0.007,0.006,1.308
Musc/Skel,phecode_723-6,Impingement syndrome of shoulder*,155,132,194,169,192,182,212,186,224,203,0.026,0.022,0.032,0.028,0.032,0.03,0.035,0.031,0.037,0.034,1.31
Derm,phecode_668-1,Atopic dermatitis,112,130,128,113,107,108,130,125,128,147,0.019,0.022,0.022,0.019,0.018,0.018,0.022,0.021,0.022,0.025,1.313
Musc/Skel,phecode_730,Other disorders and symptoms of the musculoskeletal system,37,42,50,42,48,37,38,54,57,49,0.006,0.007,0.008,0.007,0.008,0.006,0.006,0.009,0.009,0.008,1.325
Neoplasms,phecode_105-1,"Malignant neoplasm of the breast, female",86,107,98,124,125,109,94,118,105,114,0.027,0.033,0.03,0.039,0.039,0.034,0.029,0.037,0.033,0.035,1.326
Neoplasms,phecode_139-5,Lipoma,154,177,152,149,155,153,132,152,156,205,0.026,0.03,0.026,0.025,0.026,0.026,0.022,0.026,0.026,0.035,1.331
GI,phecode_530,Disease of anus and rectum,160,154,166,172,189,181,192,200,196,213,0.027,0.026,0.028,0.029,0.032,0.031,0.033,0.034,0.033,0.036,1.331
Musc/Skel,phecode_713-3,Pain in joint,1247,1377,1447,1439,1494,1460,1514,1465,1511,1660,0.291,0.322,0.338,0.336,0.349,0.341,0.354,0.342,0.353,0.388,1.332
Musc/Skel,phecode_713,Symptoms related to joints,1265,1370,1460,1479,1447,1536,1470,1545,1540,1689,0.304,0.329,0.35,0.355,0.347,0.369,0.353,0.371,0.37,0.405,1.335
Musc/Skel,phecode_723-3,Medial epicondylitis (Golfer's elbow),47,57,62,70,74,81,75,62,79,63,0.008,0.009,0.01,0.012,0.012,0.013,0.012,0.01,0.013,0.01,1.341
GI,phecode_518,Appendicitis,38,40,31,33,38,35,32,47,46,51,0.006,0.007,0.005,0.005,0.006,0.006,0.005,0.008,0.008,0.008,1.342
Derm,phecode_679-1,Rash and other nonspecific skin eruption,632,635,707,687,729,752,801,773,804,849,0.117,0.117,0.131,0.127,0.135,0.139,0.148,0.143,0.149,0.157,1.344
Neuro,phecode_329-4,Other specified cognitive deficit,23,43,31,38,40,27,49,39,44,31,0.004,0.007,0.005,0.006,0.007,0.004,0.008,0.006,0.007,0.005,1.348
Derm,phecode_664,Papulosquamous disorders,66,64,71,70,79,63,59,48,72,89,0.011,0.011,0.012,0.012,0.013,0.01,0.01,0.008,0.012,0.015,1.349
Genitourinary,phecode_613-5,Mastodynia,158,139,139,157,172,153,164,169,181,214,0.051,0.045,0.045,0.051,0.056,0.05,0.053,0.055,0.059,0.069,1.354
Musc/Skel,phecode_721-5,Bursitis,237,262,262,315,352,311,355,345,353,322,0.04,0.044,0.044,0.053,0.059,0.053,0.06,0.058,0.06,0.054,1.359
Mental,phecode_283-8,Other problems related to lifestyle,680,711,757,750,800,814,849,805,881,924,0.15,0.157,0.168,0.166,0.177,0.18,0.188,0.178,0.195,0.205,1.359
Resp,phecode_473,Other diseases of upper respiratory tract,99,123,105,114,119,113,99,119,114,135,0.016,0.02,0.017,0.019,0.02,0.019,0.016,0.02,0.019,0.022,1.364
GI,phecode_509-3,Hypertrophy of tongue papillae,11,8,11,10,12,13,19,13,15,15,0.002,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,1.364
Endo,phecode_200-21,Diffuse goiter,11,8,13,17,20,20,17,22,14,15,0.002,0.001,0.002,0.003,0.003,0.003,0.003,0.004,0.002,0.002,1.364
Musc/Skel,phecode_723-51,Achilles tendinitis,110,123,128,128,123,128,117,137,143,150,0.018,0.02,0.021,0.021,0.02,0.021,0.019,0.023,0.024,0.025,1.364
Neuro,phecode_351-3,Paresthesia of skin*,201,204,223,214,215,235,236,222,235,275,0.034,0.034,0.038,0.036,0.036,0.04,0.04,0.038,0.04,0.046,1.368
Hearing,phecode_391,Disorders of the middle ear,332,396,422,421,415,422,414,425,448,456,0.059,0.071,0.075,0.075,0.074,0.075,0.074,0.076,0.08,0.082,1.374
Neuro,phecode_351-1,Anesthesia of skin*,101,98,98,104,118,112,107,125,89,139,0.017,0.016,0.016,0.017,0.02,0.019,0.018,0.021,0.015,0.023,1.376
Derm,phecode_660,Infection of the skin,927,967,1000,1051,1092,1151,1196,1189,1223,1277,0.2,0.209,0.216,0.227,0.236,0.249,0.258,0.257,0.264,0.276,1.378
Derm,phecode_688,Granulomatous disorder of the skin,37,46,43,34,49,47,36,41,47,51,0.006,0.008,0.007,0.006,0.008,0.008,0.006,0.007,0.008,0.008,1.378
Derm,phecode_683,Nail disorders,193,207,220,245,262,254,253,259,270,267,0.033,0.035,0.037,0.042,0.044,0.043,0.043,0.044,0.046,0.045,1.384
GI,phecode_507-1,Stomatitis,72,63,71,70,95,90,96,103,101,100,0.012,0.01,0.012,0.012,0.016,0.015,0.016,0.017,0.017,0.017,1.389
Mental,phecode_308-5,Nervousness,18,14,19,11,17,18,18,19,23,25,0.003,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.004,1.389
Mental,phecode_283,Other behavioral problems,759,835,823,867,908,926,952,985,1027,1061,0.174,0.191,0.188,0.198,0.208,0.212,0.218,0.225,0.235,0.243,1.398
GI,phecode_540,Hepatitis,15,11,17,17,14,21,16,26,24,21,0.002,0.002,0.003,0.003,0.002,0.003,0.003,0.004,0.004,0.003,1.4
Neuro,phecode_352,Disturbances of sensation of smell and taste,45,40,55,48,46,54,55,57,58,63,0.007,0.007,0.009,0.008,0.008,0.009,0.009,0.009,0.01,0.01,1.4
GI,phecode_530-1,Anal fissure,57,69,75,80,59,70,58,75,81,80,0.01,0.012,0.013,0.013,0.01,0.012,0.01,0.013,0.014,0.013,1.404
Resp,phecode_463-1,Chronic rhinitis,126,121,119,151,132,170,173,173,169,177,0.021,0.02,0.02,0.025,0.022,0.028,0.029,0.029,0.028,0.03,1.405
Musc/Skel,phecode_722,Fasciopathy,390,380,394,418,411,429,447,455,476,550,0.067,0.065,0.068,0.072,0.07,0.074,0.077,0.078,0.082,0.094,1.41
Musc/Skel,phecode_723,Enthesopathy/Enthesitis/Tendinopathy,632,696,693,666,705,688,774,821,853,892,0.122,0.134,0.133,0.128,0.136,0.132,0.149,0.158,0.164,0.172,1.412
Musc/Skel,phecode_718,Back pain,952,1013,1016,1059,1069,1065,1116,1154,1149,1345,0.235,0.25,0.251,0.262,0.264,0.263,0.276,0.285,0.284,0.332,1.413
Signs/Symptoms,phecode_801,Cough,1034,1076,1172,1198,1260,1273,1361,1396,1385,1463,0.217,0.226,0.246,0.251,0.264,0.267,0.286,0.293,0.291,0.307,1.415
Metab,phecode_247-51,Hypocalcemia,12,10,9,9,8,12,19,21,15,17,0.002,0.002,0.001,0.001,0.001,0.002,0.003,0.003,0.002,0.003,1.417
Hearing,phecode_391-11,Acute otitis media,12,20,19,16,20,25,19,19,22,17,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.003,1.417
Musc/Skel,phecode_717,Other and unspecified dorsopathies,67,74,69,65,80,76,86,103,76,95,0.011,0.012,0.011,0.011,0.013,0.013,0.014,0.017,0.013,0.016,1.418
Resp,phecode_460,Acute respiratory infection,995,1100,1153,1227,1266,1198,1321,1322,1372,1418,0.254,0.281,0.294,0.313,0.323,0.306,0.337,0.338,0.35,0.362,1.425
Resp,phecode_463,Rhinitis and nasal congestion,395,421,444,467,476,514,499,520,497,563,0.074,0.079,0.083,0.087,0.089,0.096,0.093,0.097,0.093,0.105,1.426
GI,phecode_504-32,Chronic periodontitis,14,20,15,8,13,12,14,9,14,20,0.002,0.003,0.002,0.001,0.002,0.002,0.002,0.001,0.002,0.003,1.429
Signs/Symptoms,phecode_809-3,Pain in limb,852,937,956,971,1004,983,1015,1035,1093,1219,0.163,0.179,0.183,0.186,0.192,0.188,0.194,0.198,0.209,0.233,1.431
GI,phecode_525,Intestinal malabsorption,41,40,40,56,45,44,36,48,46,59,0.007,0.007,0.007,0.009,0.007,0.007,0.006,0.008,0.008,0.01,1.439
Genitourinary,phecode_627-1,Postmenopausal bleeding,157,137,136,181,161,180,186,188,228,226,0.05,0.044,0.043,0.058,0.051,0.057,0.059,0.06,0.073,0.072,1.44
ID,phecode_089-3,Fungal infections,596,645,673,723,722,704,781,763,757,859,0.119,0.129,0.134,0.144,0.144,0.141,0.156,0.152,0.151,0.172,1.442
Endo,phecode_200-7,Iodine-deficiency related thyroid disorders*,27,20,38,26,39,41,51,47,39,39,0.004,0.003,0.006,0.004,0.006,0.007,0.008,0.008,0.006,0.006,1.445
Musc/Skel,phecode_711-1,Derangement of meniscus,110,134,126,120,118,137,129,129,146,159,0.018,0.022,0.021,0.02,0.02,0.023,0.021,0.021,0.024,0.026,1.446
Resp,phecode_486-2,Other diseases of bronchus,20,12,17,12,24,21,16,32,14,29,0.003,0.002,0.003,0.002,0.004,0.003,0.003,0.005,0.002,0.005,1.45
Hearing,phecode_391-7,Perforation of tympanic membrane,20,25,31,25,36,35,34,38,34,29,0.003,0.004,0.005,0.004,0.006,0.006,0.006,0.006,0.006,0.005,1.45
Resp,phecode_462-2,Chronic sinusitis,291,289,315,325,360,347,386,388,413,422,0.051,0.05,0.055,0.056,0.062,0.06,0.067,0.067,0.072,0.073,1.45
Derm,phecode_679-21,Pallor,11,3,10,7,15,12,9,20,11,16,0.002,0,0.002,0.001,0.002,0.002,0.001,0.003,0.002,0.003,1.455
GI,phecode_514-21,Impaction of intestine,11,10,5,10,12,11,19,22,9,16,0.002,0.002,0.001,0.002,0.002,0.002,0.003,0.004,0.001,0.003,1.455
Musc/Skel,phecode_702-3,Enteropathic arthropathies,11,8,11,15,12,11,12,12,14,16,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,1.455
GI,phecode_504-1,Gingivitis,11,12,14,10,14,13,14,13,12,16,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,1.455
Signs/Symptoms,phecode_809,Pain,924,1001,1024,1076,1077,1116,1114,1127,1186,1346,0.185,0.2,0.205,0.215,0.215,0.223,0.223,0.225,0.237,0.269,1.457
Derm,phecode_667,Erythematous conditions,37,38,30,34,43,57,44,50,48,54,0.006,0.006,0.005,0.006,0.007,0.009,0.007,0.008,0.008,0.009,1.46
Mental,phecode_280-82,Other psychoactive substance dependence,13,7,6,8,4,9,11,13,16,19,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.003,1.462
Derm,phecode_672,Other acute skin changes due to ultraviolet radiation,13,11,10,14,26,19,12,26,19,19,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.004,0.003,0.003,1.462
