endpoint,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,event_rate_1,event_rate_2,event_rate_3,event_rate_4,event_rate_5,event_rate_6,event_rate_7,event_rate_8,event_rate_9,event_rate_10,event_rate_ratio,endpoint_string,n,phecode_category
phecode_712,75,76,73,67,72,90,73,91,62,67,0.012386457473162676,0.012551610239471512,0.012056151940545004,0.01106523534269199,0.011890999174236168,0.01486374896779521,0.012056151940545004,0.015028901734104046,0.010239471511147812,0.011067063098777667,0.8934808941746503,Other specific joint derangements,746,Musc/Skel
phecode_623,84,93,86,95,83,86,99,100,80,77,0.02585410895660203,0.028624192059095107,0.02646968297937827,0.029239766081871343,0.02554632194521391,0.02646968297937827,0.030470914127423823,0.030778701138811943,0.024622960911049555,0.023699599876885195,0.9166666666666666,Hypertrophy of female genital organs,883,Genitourinary
phecode_509-3,12,9,8,17,10,17,12,13,18,11,0.00196078431372549,0.0014705882352941176,0.00130718954248366,0.002777777777777778,0.0016342539630658604,0.002778231737211963,0.0019611047556790323,0.0021245301519856184,0.002941657133518549,0.0017976793593724465,0.9168164732799478,Hypertrophy of tongue papillae,127,GI
phecode_613-7,67,64,60,42,54,54,54,67,59,62,0.02047677261613692,0.019559902200488997,0.018337408312958436,0.012836185819070905,0.01650871293182513,0.01650871293182513,0.01650871293182513,0.020483032711708957,0.01803729746254968,0.018954448180984407,0.9256560365400146,Other signs and symptoms in breast,583,Genitourinary
phecode_557-8,328,316,316,321,330,302,310,314,320,304,0.057103064066852366,0.05501392757660167,0.05502350687793836,0.0558941319867665,0.05746125718265715,0.05258575657321957,0.05397875674734459,0.054675256834407104,0.05572000696500087,0.05293400661675083,0.9269906524591975,Hemorrhage of rectum and anus,3161,GI
phecode_665-3,14,11,12,15,16,17,12,8,15,13,0.0022902012105349254,0.0017994438082774415,0.001963029609029936,0.0024537870112874205,0.002617801047120419,0.002781413612565445,0.001963350785340314,0.0013089005235602095,0.0024541884816753927,0.0021269633507853404,0.9287233545250562,Other psoriasis,133,Derm
phecode_702,28,22,22,19,24,25,25,29,34,27,0.004586404586404586,0.0036036036036036037,0.0036036036036036037,0.0031122031122031123,0.003931203931203931,0.004095004095004095,0.004095004095004095,0.004750982961992136,0.005570117955439056,0.004423328964613368,0.9644436903201649,Infective and reactive arthropathies,255,Musc/Skel
phecode_603-5,60,60,66,64,54,56,55,51,55,58,0.0221483942414175,0.0221483942414175,0.024363233665559248,0.023633677991137372,0.019940915805022157,0.0206794682422452,0.02031019202363368,0.01883308714918759,0.02031019202363368,0.02141802067946824,0.967023633677991,Orchitis and epididymitis,579,Genitourinary
phecode_030,33,42,46,48,40,41,44,41,40,32,0.0054249547920434,0.006904487917146145,0.007562058194969587,0.007890843333881308,0.006575702778234424,0.006740095347690284,0.007233273056057866,0.006740095347690284,0.006575702778234424,0.005261427162117725,0.9698564068837006,Campylobacter,407,ID
phecode_604-5,45,55,45,35,44,48,40,31,52,44,0.016292541636495295,0.01991310644460536,0.016292541636495295,0.012671976828385228,0.015930485155684286,0.017378711078928313,0.01448225923244026,0.011223750905141203,0.018833755885548715,0.01593625498007968,0.978131916777335,Balanoposthitis,439,Genitourinary
phecode_664,69,82,69,65,64,64,69,54,77,68,0.01143520053032814,0.01358965860125953,0.01143520053032814,0.010772290354656945,0.010606562810739144,0.010606562810739144,0.01143520053032814,0.008950770760815515,0.012763136084866566,0.011271340958063982,0.9856705991443199,Papulosquamous disorders,681,Derm
phecode_394-1,13,15,18,25,24,20,30,34,19,13,0.002131846507051492,0.002459822892751722,0.0029517874713020664,0.0040997048212528696,0.003935716628402755,0.0032797638570022957,0.004919645785503444,0.0055755985569039025,0.003115775664152181,0.002131846507051492,1,Meniere disease,211,Hearing
phecode_352-3,15,15,21,19,21,13,22,12,16,15,0.0024521824423737125,0.0024521824423737125,0.0034330554193231977,0.003106097760340036,0.0034330554193231977,0.002125224783390551,0.0035965342488147784,0.00196174595389897,0.0026156612718652933,0.002452583387835186,1.0001635055591889,Parageusia*,169,Neuro
phecode_712-1,10,12,11,16,24,16,18,20,10,10,0.0016350555918901242,0.001962066710268149,0.0017985611510791368,0.002616088947024199,0.003924133420536298,0.002616088947024199,0.0029431000654022237,0.003270645952575634,0.001635322976287817,0.001635322976287817,1.0001635322976288,Loose body in joint,147,Musc/Skel
phecode_366-42,11,14,11,13,19,13,12,12,16,11,0.0018018018018018018,0.002293202293202293,0.0018018018018018018,0.0021294021294021295,0.0031122031122031123,0.0021294021294021295,0.0019656019656019656,0.0019656019656019656,0.002620802620802621,0.0018020969855832242,1.0001638269986894,Conjunctival hyperemia,132,Eye
phecode_334-1,33,36,33,28,44,31,46,50,34,33,0.005417829584633065,0.005910359546872435,0.005417829584633065,0.0045969463142341155,0.0072237727795107535,0.0050894762764734855,0.007552126087670333,0.008208832703989493,0.005582922824302135,0.00541871921182266,1.0001642036124794,Trigeminal nerve disorders [CN5],368,Neuro
phecode_486-21,16,13,14,23,7,6,11,21,17,16,0.002628120893561104,0.002135699030721209,0.0022999835715459176,0.003778544438968293,0.0011499917857729588,9.857072449482504e-4,0.0018071299490717923,0.0034499753573188764,0.002792837194020043,0.0026285526531953343,1.0001642845408247,Bronchospasm,144,Resp
phecode_518,39,35,33,25,39,43,45,44,49,39,0.006420810009878169,0.005762265393480408,0.005432993085281528,0.004115903852486006,0.006420810009878169,0.007080520335913058,0.007409846863164828,0.0072451835995389425,0.008068499917668368,0.006421867281409518,1.0001646632636259,Appendicitis,391,GI
phecode_526-1,97,93,107,113,122,113,112,122,87,97,0.016120990526840618,0.015458776595744681,0.01778590425531915,0.018783244680851064,0.020279255319148936,0.018783244680851064,0.018617021276595744,0.020279255319148936,0.014461436170212765,0.016123670212765957,1.0001662234042554,Bacterial enteritis,1063,GI
phecode_676,209,228,224,199,246,211,218,212,206,209,0.03573260386390836,0.03898102239699094,0.038297144811078813,0.034022909899128054,0.04205847153359549,0.03607454265686442,0.037271328432210635,0.03624551205334245,0.03521969567447427,0.035738714090287275,1.0001709986320109,Hypertrophic conditions of skin,2162,Derm
phecode_624-2,15,22,25,14,17,16,25,36,22,15,0.004512635379061372,0.006618531889290012,0.007521058965102286,0.00421179302045728,0.005114320096269555,0.0048134777376654635,0.007521058965102286,0.010830324909747292,0.0066205236232320195,0.0045139933794763765,1.000300932891965,Atrophy of female genital tract,207,Genitourinary
phecode_139-54,13,7,14,15,14,12,15,9,17,13,0.004654493376297888,0.002506265664160401,0.005012531328320802,0.0053705692803437165,0.005012531328320802,0.004296455424274973,0.0053724928366762174,0.0032234957020057307,0.0060888252148997134,0.004656160458452722,1.0003581661891117,Testicular limpoma,129,Neoplasms
phecode_236-1,695,678,664,635,534,583,597,607,626,705,0.12120683641437043,0.1182420648761772,0.11580048831531217,0.11074293686780606,0.09312870596442274,0.10167422392745029,0.10411580048831531,0.10585978374607603,0.10919239490668062,0.12297226582940869,1.014565427720618,Obesity,6324,Metab
phecode_439,473,506,505,525,510,488,488,476,527,486,0.08530207394048693,0.09125338142470694,0.0910894660894661,0.0946969696969697,0.09199134199134198,0.08802308802308802,0.08802308802308802,0.08585858585858586,0.09505772005772006,0.08766233766233766,1.0276694764009775,Hemorrhoids,4984,Cardio
phecode_236,693,676,666,637,541,594,593,608,619,713,0.12090020935101187,0.11793440334961619,0.11618981158408932,0.11113049546406141,0.09439888326644565,0.1036468330134357,0.10347234339556796,0.10608968766358402,0.10800907346012913,0.12441109753969638,1.029039554253304,Overweight and obesity,6340,Metab
phecode_682,426,382,370,403,418,421,420,413,463,440,0.07790782735918068,0.06986100950987564,0.06767880007316628,0.07371501737698921,0.07645875251509054,0.07700749954271081,0.07682458386683738,0.07554417413572344,0.08468995792939454,0.08048289738430583,1.0330527767544233,Other follicular disorders,4156,Derm
phecode_603-1,29,33,30,37,22,28,27,33,48,30,0.010484454085321764,0.01193058568329718,0.010845986984815618,0.013376717281272595,0.007956600361663653,0.010126582278481013,0.00976491862567812,0.011934900542495479,0.01735985533453888,0.0108499095840868,1.034856893433934,Hydrocele,317,Genitourinary
phecode_334-11,26,30,26,24,27,37,31,40,30,27,0.004259501965923985,0.0049148099606815205,0.004259501965923985,0.0039324922169424875,0.0044240537440602985,0.006062592167786335,0.005079469113550713,0.006554153694904146,0.004915615271178109,0.0044240537440602985,1.0386316943747715,Trigeminal neuralgia,298,Neuro
phecode_086,26,26,18,22,29,25,25,25,24,27,0.0042833607907743,0.004284066567803592,0.002965892239248641,0.003624979403526116,0.004778381941011699,0.004119294776734223,0.004119294776734223,0.004119294776734223,0.003954522985664854,0.004448838358872961,1.0386326476291874,"Pediculosis, acariasis and other infestations",247,ID
phecode_329-42,25,19,28,21,21,28,39,21,18,26,0.0040936630096610445,0.003111183887342394,0.00458490257082037,0.0034386769281152777,0.0034386769281152777,0.00458490257082037,0.00638611429507123,0.003439240091713069,0.002947920078611202,0.004258106780216181,1.0401703242712088,Cognitive communication deficit,246,Neuro
phecode_614-1,24,22,15,18,17,13,17,23,16,25,0.007261724659606656,0.0066565809379727685,0.0045385779122541605,0.005446293494704993,0.005143721633888048,0.003933434190620273,0.005143721633888048,0.006959152798789713,0.004842615012106538,0.007566585956416465,1.0419819410815174,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)",190,Genitourinary
phecode_525-1,22,21,21,20,22,20,24,25,27,23,0.0036083319665409217,0.003444316877152698,0.0034448818897637795,0.0032808398950131233,0.0036089238845144356,0.0032808398950131233,0.003937007874015748,0.004101049868766404,0.0044291338582677165,0.003772965879265092,1.045626043903603,Celiac disease,225,GI
phecode_179,20,19,16,10,23,23,22,19,14,21,0.0032690421706440013,0.003105590062111801,0.0026156612718652933,0.0016347882949158084,0.003760013078306359,0.003760013078306359,0.0035965342488147784,0.003106097760340036,0.0022887036128821318,0.0034330554193231977,1.0501716527709661,Immunodeficiencies,187,Blood
phecode_334,71,60,80,67,80,88,90,109,74,75,0.01174524400330852,0.009925558312655087,0.013234077750206782,0.011083540115798181,0.013234077750206782,0.01455748552522746,0.014890800794176042,0.018034414295168763,0.012243547319655858,0.012409000661813368,1.0565128028262225,Disorders of other cranial nerves,794,Neuro
phecode_335,103,107,86,96,87,108,92,99,133,109,0.016926869350862777,0.017584223500410848,0.014133114215283484,0.015776499589153656,0.014297452752670501,0.017748562037797865,0.015119145439605587,0.016272189349112426,0.021860618014464168,0.017915844838921762,1.0584263674256207,Nerve root and plexus disorders,1020,Neuro
phecode_331-3,17,13,7,11,18,9,12,18,18,18,0.0027764167891556426,0.002123489055864097,0.0011434171839268213,0.0017967984318850048,0.0029402156158118264,0.0014701078079059132,0.0019601437438745506,0.0029402156158118264,0.0029402156158118264,0.0029402156158118264,1.0589964832715184,"Headache syndromes, non migraine",141,Neuro
phecode_360-2,98,98,87,81,103,84,97,105,95,104,0.016262860935944243,0.016262860935944243,0.014437437769664786,0.013441752406239628,0.01709259873879854,0.013939595087952207,0.016096913375373383,0.01742449385994026,0.015765018254231662,0.0172585462993694,1.0612244897959184,Chalazion,952,Eye
phecode_682-11,211,221,214,222,217,218,217,228,238,226,0.03586605473397926,0.037565867754547,0.03638218293097586,0.03774226453587215,0.03689221353281197,0.03706222373342401,0.03689221353281197,0.03876232573954437,0.04046242774566474,0.0384223053383203,1.071272143627196,Sebaceous cyst [Epidermal cyst],2212,Derm
phecode_800-2,98,76,79,101,98,105,114,106,91,106,0.016115770432494656,0.012497944417036671,0.012991284328235488,0.016609110343693473,0.016115770432494656,0.01726689689195856,0.01875,0.017434210526315788,0.014967105263157894,0.017434210526315788,1.0818105531686357,Precordial pain,974,Signs/Symptoms
phecode_504-1,11,11,19,11,17,11,13,13,11,12,0.0018020969855832242,0.0018020969855832242,0.003112712975098296,0.00180239226609864,0.002785515320334262,0.00180239226609864,0.002130099950843847,0.002130099950843847,0.00180239226609864,0.0019662461084712438,1.0910878405553155,Gingivitis,129,GI
phecode_397,225,214,253,238,222,238,234,255,250,247,0.03803245436105477,0.03617308992562542,0.042772612003381234,0.040236686390532544,0.03753169907016061,0.040236686390532544,0.03956043956043956,0.04311073541842773,0.042265426880811495,0.041758241758241756,1.0979633699633697,Other hearing abnormality,2376,Hearing
phecode_608,221,265,244,242,243,253,244,264,266,243,0.08759413396749902,0.10503369005152596,0.09671026555687673,0.09591755846214824,0.09631391200951249,0.10027744748315498,0.09674861221252974,0.10467882632831087,0.10547184773988898,0.09635210150674069,1.0999834936719761,Other disorders of male genital organs,2485,Genitourinary
phecode_097-1,10,11,9,13,10,13,20,8,12,11,0.0016345210853220007,0.0017979731938542007,0.0014710689767898006,0.0021248774109186006,0.0016345210853220007,0.0021248774109186006,0.0032690421706440013,0.0013076168682576005,0.001961425302386401,0.0017982671244073892,1.1001798267124407,Methicillin resistant Staphylococcus aureus,117,ID
phecode_200-31,10,13,10,9,10,17,15,8,14,11,0.0016366612111292963,0.002127659574468085,0.0016366612111292963,0.0014729950900163667,0.0016366612111292963,0.0027823240589198036,0.002455393681453593,0.0013095432967752496,0.0022917007693566867,0.0018006220330659681,1.1001800622033064,Graves' disease [Toxic diffuse goiter],117,Endo
phecode_139-3,10,6,6,14,15,9,15,8,9,11,0.0016388069485414618,9.832841691248771e-4,9.832841691248771e-4,0.0022943297279580466,0.0024582104228121925,0.0014749262536873156,0.0024582104228121925,0.0013110455588331695,0.0014749262536873156,0.0018029831175217178,1.1001802983117523,Benign neoplasm of other connective and soft tissue,103,Neoplasms
phecode_475-5,10,14,11,19,6,8,5,13,13,11,0.0016398819285011479,0.0022958346999016072,0.0018041659832704609,0.0031162866983762507,9.840905363293422e-4,0.0013121207151057896,8.200754469411186e-4,0.0021321961620469083,0.0021321961620469083,0.0018041659832704609,1.100180416598327,Exercise induced bronchospasm,110,Resp
phecode_685-1,29,21,21,24,33,30,33,31,39,32,0.004768168365669187,0.0034528115751397566,0.003453379378391712,0.003946719289590528,0.005426739023186976,0.00493339911198816,0.005426739023186976,0.0050978457490544315,0.006413418845584608,0.005262292386120704,1.1036297342202113,Dyshidrosis,293,Derm
phecode_389-1,38,40,36,30,37,34,35,45,42,42,0.00625,0.006578947368421052,0.0059210526315789476,0.004934210526315789,0.0060855263157894735,0.005592105263157895,0.005756578947368421,0.007402533311399902,0.006909031090639908,0.006909031090639908,1.1054449745023853,Ocular pain,379,Eye
phecode_501,53,62,66,75,48,47,56,63,50,59,0.008702791461412151,0.010180623973727421,0.010839218262440466,0.012317293480045984,0.00788306782722943,0.007718837247495483,0.009196912465101003,0.010346526523238628,0.008211528986697324,0.009689604204302841,1.113390369890647,Dental caries,579,GI
