phecode_category,endpoint,phecode_string,ukb_agesex,ukb_agesexretina,ukb_delta
Endo,phecode_202-4,Other specified diabetes*,"0.613 (0.607, 0.619)","0.698 (0.693, 0.704)","0.086 (0.08, 0.091)"
Rx,phecode_977-7,Long term (current) use of insulin or oral hypoglycemic drugs,"0.61 (0.601, 0.618)","0.696 (0.687, 0.703)","0.086 (0.078, 0.094)"
Mental,phecode_280-12,Alcohol dependence,"0.535 (0.518, 0.553)","0.622 (0.605, 0.637)","0.086 (0.066, 0.105)"
Eye,phecode_374-4,Retinal disorders in diseases classified elsewhere,"0.629 (0.622, 0.64)","0.714 (0.705, 0.725)","0.085 (0.074, 0.093)"
Musc/Skel,phecode_724-51,Calcaneal spur,"0.43 (0.389, 0.457)","0.517 (0.486, 0.551)","0.084 (0.047, 0.138)"
Blood,phecode_168-2,Hyper-coagulability,"0.446 (0.4, 0.487)","0.528 (0.485, 0.563)","0.084 (0.034, 0.13)"
Eye,phecode_374-51,Age-related macular degeneration,"0.752 (0.738, 0.766)","0.834 (0.819, 0.844)","0.083 (0.071, 0.094)"
Eye,phecode_367-5,Uveitis,"0.526 (0.505, 0.551)","0.61 (0.59, 0.636)","0.083 (0.059, 0.11)"
Resp,phecode_498,Asphyxia and hypoxemia,"0.616 (0.576, 0.656)","0.7 (0.666, 0.741)","0.083 (0.045, 0.114)"
ID,phecode_097-1,Methicillin resistant Staphylococcus aureus,"0.458 (0.421, 0.492)","0.541 (0.502, 0.583)","0.083 (0.033, 0.125)"
Rx,phecode_977-72,Long term (current) use of oral hypoglycemic drugs,"0.614 (0.606, 0.623)","0.695 (0.688, 0.704)","0.082 (0.073, 0.089)"
Endo,phecode_202-1,Type 1 diabetes,"0.615 (0.596, 0.638)","0.698 (0.679, 0.719)","0.082 (0.06, 0.11)"
Eye,phecode_367-52,Iridocyclitis,"0.523 (0.504, 0.549)","0.608 (0.59, 0.628)","0.082 (0.058, 0.105)"
Eye,phecode_366-1,Pterygium of eye,"0.498 (0.458, 0.536)","0.576 (0.543, 0.631)","0.081 (0.035, 0.136)"
Eye,phecode_374-42,Diabetic retinopathy,"0.63 (0.621, 0.637)","0.708 (0.697, 0.714)","0.079 (0.071, 0.086)"
Metab,phecode_247-72,Iron deficiency,"0.545 (0.536, 0.554)","0.624 (0.617, 0.631)","0.079 (0.069, 0.086)"
GI,phecode_501,Dental caries,"0.482 (0.465, 0.498)","0.56 (0.538, 0.579)","0.079 (0.053, 0.104)"
Endo,phecode_211,Disorders of adrenal glands,"0.553 (0.516, 0.592)","0.634 (0.6, 0.673)","0.079 (0.042, 0.123)"
Neuro,phecode_325-1,Abnormal involuntary movements,"0.382 (0.339, 0.427)","0.459 (0.421, 0.503)","0.079 (0.029, 0.133)"
Blood,phecode_160-1,Iron deficiency anemia,"0.554 (0.545, 0.565)","0.632 (0.621, 0.639)","0.077 (0.066, 0.085)"
Blood,phecode_164-1,Microcytic anemia,"0.555 (0.544, 0.563)","0.631 (0.62, 0.639)","0.076 (0.068, 0.084)"
Eye,phecode_369,Noninflammatory disorders of the cornea,"0.633 (0.617, 0.648)","0.709 (0.685, 0.728)","0.076 (0.061, 0.09)"
GI,phecode_546-3,Hepatomegaly,"0.538 (0.504, 0.585)","0.616 (0.574, 0.67)","0.076 (0.023, 0.134)"
Musc/Skel,phecode_709-1,Acquired deformities of fingers,"0.445 (0.424, 0.476)","0.523 (0.499, 0.549)","0.075 (0.043, 0.109)"
Metab,phecode_239-3,Mixed hyperlipidemia,"0.48 (0.455, 0.51)","0.56 (0.528, 0.595)","0.075 (0.041, 0.123)"
Metab,phecode_236-1,Obesity,"0.511 (0.506, 0.516)","0.585 (0.58, 0.589)","0.074 (0.067, 0.08)"
Mental,phecode_283-4,Patient's noncompliance with medical treatment and regimen,"0.497 (0.489, 0.505)","0.572 (0.564, 0.579)","0.074 (0.062, 0.087)"
Mental,phecode_308-4,Demoralization and apathy,"0.548 (0.521, 0.575)","0.622 (0.594, 0.649)","0.074 (0.038, 0.107)"
Derm,phecode_674-11,Vitiligo,"0.516 (0.476, 0.558)","0.587 (0.539, 0.638)","0.074 (0.011, 0.13)"
ID,phecode_097,Drug resistant microorganisms,"0.479 (0.441, 0.514)","0.55 (0.517, 0.587)","0.073 (0.039, 0.109)"
Metab,phecode_236,Overweight and obesity,"0.512 (0.506, 0.517)","0.584 (0.58, 0.59)","0.072 (0.066, 0.079)"
Metab,phecode_247-7,Disorders of iron metabolism,"0.546 (0.538, 0.554)","0.618 (0.61, 0.625)","0.072 (0.063, 0.078)"
GI,phecode_542,Chronic liver disease and sequelae,"0.517 (0.509, 0.528)","0.589 (0.579, 0.598)","0.072 (0.057, 0.084)"
Signs/Symptoms,phecode_829-2,Abnormal level of blood mineral*,"0.498 (0.481, 0.513)","0.571 (0.552, 0.591)","0.072 (0.055, 0.097)"
Endo,phecode_202-2,Type 2 diabetes,"0.591 (0.585, 0.599)","0.662 (0.657, 0.667)","0.071 (0.063, 0.077)"
GI,phecode_542-1,Fibrosis and cirrhosis of liver,"0.636 (0.603, 0.66)","0.705 (0.678, 0.737)","0.071 (0.05, 0.1)"
Neuro,phecode_333-4,Circadian rhythm sleep disorder,"0.438 (0.398, 0.481)","0.508 (0.468, 0.55)","0.071 (0.022, 0.119)"
Endo,phecode_202,Diabetes mellitus,"0.593 (0.586, 0.597)","0.662 (0.657, 0.668)","0.07 (0.063, 0.076)"
Signs/Symptoms,phecode_821,Abnormality of red blood cells,"0.515 (0.485, 0.542)","0.587 (0.551, 0.611)","0.07 (0.044, 0.099)"
Metab,phecode_247-51,Hypocalcemia,"0.49 (0.449, 0.531)","0.564 (0.512, 0.597)","0.07 (0.016, 0.113)"
Metab,phecode_232,Vitamin deficiencies,"0.549 (0.543, 0.556)","0.619 (0.613, 0.624)","0.069 (0.062, 0.077)"
Blood,phecode_160,Nutritional anemias,"0.564 (0.556, 0.575)","0.633 (0.625, 0.641)","0.069 (0.061, 0.076)"
Mental,phecode_280-13,Alcoholic liver disease,"0.635 (0.601, 0.66)","0.702 (0.669, 0.733)","0.069 (0.041, 0.095)"
Genitourinary,phecode_614-54,Abscess or ulceration of vulva,"0.418 (0.369, 0.452)","0.484 (0.439, 0.535)","0.069 (0.018, 0.118)"
GI,phecode_542-4,Portal hypertension,"0.646 (0.601, 0.681)","0.713 (0.672, 0.749)","0.068 (0.038, 0.098)"
Derm,phecode_674-1,Hypopigmentation,"0.537 (0.498, 0.571)","0.603 (0.562, 0.642)","0.068 (0.021, 0.099)"
Neoplasms,phecode_135-1,Benign neoplasm of the oral cavity,"0.503 (0.466, 0.541)","0.57 (0.533, 0.606)","0.067 (0.015, 0.1)"
Mental,phecode_281-2,Substance dependence,"0.538 (0.53, 0.545)","0.605 (0.596, 0.613)","0.066 (0.058, 0.074)"
Eye,phecode_374-511,Nonexuadative (dry) age-related macular degeneration,"0.759 (0.736, 0.784)","0.824 (0.806, 0.846)","0.064 (0.045, 0.086)"
Mental,phecode_287,Psychotic disorder,"0.531 (0.497, 0.559)","0.592 (0.554, 0.631)","0.064 (0.015, 0.1)"
GI,phecode_540-1,Chronic hepatitis,"0.535 (0.498, 0.585)","0.598 (0.567, 0.634)","0.063 (0.029, 0.102)"
Eye,phecode_371-3,Nuclear cataract,"0.744 (0.736, 0.754)","0.805 (0.799, 0.814)","0.062 (0.054, 0.067)"
Metab,phecode_232-2,Vitamin B group deficiency,"0.568 (0.558, 0.581)","0.63 (0.618, 0.643)","0.062 (0.048, 0.072)"
Mental,phecode_292,Somatoform disorders,"0.487 (0.449, 0.526)","0.546 (0.494, 0.598)","0.062 (0.016, 0.096)"
Eye,phecode_371-31,Age-related nuclear cataract,"0.745 (0.735, 0.751)","0.806 (0.799, 0.812)","0.061 (0.055, 0.069)"
Metab,phecode_232-4,Vitamin D deficiency,"0.571 (0.565, 0.578)","0.631 (0.624, 0.64)","0.06 (0.052, 0.067)"
GI,phecode_542-2,Fatty liver disease (FLD),"0.525 (0.513, 0.535)","0.585 (0.573, 0.596)","0.06 (0.043, 0.072)"
Eye,phecode_380-2,Disorders of optic disc,"0.551 (0.513, 0.581)","0.611 (0.574, 0.645)","0.06 (0.023, 0.091)"
Eye,phecode_374-5,Macular degeneration,"0.715 (0.707, 0.725)","0.775 (0.769, 0.784)","0.059 (0.052, 0.066)"
Neuro,phecode_343,Disorders of autonomic nervous system,"0.52 (0.495, 0.546)","0.579 (0.544, 0.616)","0.059 (0.029, 0.093)"
Eye,phecode_369-1,Corneal scars and opacities,"0.631 (0.587, 0.674)","0.692 (0.655, 0.736)","0.058 (0.023, 0.107)"
Derm,phecode_679-2,Pallor and flushing,"0.516 (0.491, 0.542)","0.573 (0.551, 0.602)","0.057 (0.036, 0.084)"
Metab,phecode_251-1,Gilbert syndrome*,"0.551 (0.523, 0.59)","0.61 (0.575, 0.639)","0.056 (0.038, 0.071)"
Eye,phecode_360-5,Noninfectious dermatoses of eyelid,"0.595 (0.568, 0.622)","0.652 (0.621, 0.677)","0.056 (0.034, 0.079)"
Metab,phecode_237,Abnormal weight gain,"0.504 (0.477, 0.523)","0.559 (0.541, 0.583)","0.056 (0.03, 0.081)"
Musc/Skel,phecode_705-5,"Rheumatism, unspecified","0.457 (0.422, 0.49)","0.512 (0.473, 0.552)","0.056 (0.005, 0.102)"
Eye,phecode_374,Disorders of the retina,"0.632 (0.624, 0.637)","0.687 (0.68, 0.693)","0.055 (0.051, 0.06)"
Neuro,phecode_351-2,Hypoesthesia of skin*,"0.701 (0.688, 0.717)","0.755 (0.741, 0.768)","0.055 (0.041, 0.067)"
ID,phecode_098,Carrier or suspected carrier of infectious diseases,"0.59 (0.56, 0.622)","0.645 (0.621, 0.681)","0.055 (0.03, 0.082)"
Mental,phecode_281,"Substance abuse, dependence, and withdrawl","0.546 (0.537, 0.551)","0.6 (0.594, 0.607)","0.054 (0.049, 0.063)"
Eye,phecode_380,Disorders of optic nerve and visual pathways,"0.582 (0.554, 0.603)","0.637 (0.613, 0.658)","0.054 (0.032, 0.081)"
ID,phecode_086,"Pediculosis, acariasis and other infestations","0.455 (0.432, 0.488)","0.51 (0.48, 0.541)","0.054 (0.023, 0.087)"
Signs/Symptoms,phecode_812-2,Angioneurotic edema,"0.473 (0.427, 0.5)","0.525 (0.485, 0.561)","0.054 (0.021, 0.101)"
Eye,phecode_371,Cataract,"0.732 (0.728, 0.736)","0.784 (0.781, 0.789)","0.053 (0.049, 0.055)"
Metab,phecode_247,Disorders of mineral metabolism and mineral deficiencies,"0.563 (0.556, 0.571)","0.616 (0.608, 0.625)","0.053 (0.046, 0.06)"
Metab,phecode_256-3,Mixed disorder of acid-base balance,"0.653 (0.635, 0.672)","0.708 (0.691, 0.727)","0.053 (0.036, 0.068)"
Metab,phecode_251,Disorders of bilirubin excretion,"0.553 (0.52, 0.584)","0.606 (0.569, 0.633)","0.053 (0.033, 0.072)"
Signs/Symptoms,phecode_824,Other abnormalities of plasma proteins*,"0.513 (0.495, 0.527)","0.566 (0.546, 0.585)","0.053 (0.032, 0.077)"
Blood,phecode_175,Polycythemias,"0.618 (0.585, 0.655)","0.673 (0.639, 0.701)","0.053 (0.023, 0.093)"
Neoplasms,phecode_114,Neuroendocrine tumors,"0.579 (0.551, 0.614)","0.632 (0.589, 0.674)","0.052 (0.016, 0.095)"
Signs/Symptoms,phecode_831,Glycosuria,"0.595 (0.582, 0.605)","0.646 (0.632, 0.656)","0.051 (0.041, 0.062)"
Derm,phecode_684-11,Alopecia Areata,"0.624 (0.601, 0.64)","0.676 (0.653, 0.693)","0.051 (0.035, 0.069)"
Signs/Symptoms,phecode_809-1,Acute pain,"0.494 (0.457, 0.527)","0.545 (0.496, 0.586)","0.051 (0.014, 0.092)"
GI,phecode_504,Periodontal diseases,"0.508 (0.487, 0.531)","0.559 (0.539, 0.577)","0.05 (0.023, 0.073)"
Resp,phecode_488-6,Wheezing,"0.519 (0.512, 0.531)","0.569 (0.56, 0.581)","0.049 (0.039, 0.061)"
Eye,phecode_375-11,Open angle glaucoma,"0.67 (0.655, 0.685)","0.719 (0.703, 0.734)","0.049 (0.037, 0.062)"
GI,phecode_522-12,Ulcerative colitis,"0.482 (0.45, 0.512)","0.532 (0.499, 0.562)","0.049 (0.012, 0.085)"
Blood,phecode_164,Anemia,"0.588 (0.58, 0.595)","0.635 (0.628, 0.643)","0.048 (0.041, 0.053)"
Eye,phecode_374-55,Puckering of macula,"0.66 (0.637, 0.673)","0.706 (0.684, 0.721)","0.048 (0.031, 0.066)"
Rx,phecode_973,Adverse effect of other drug,"0.645 (0.617, 0.675)","0.698 (0.663, 0.726)","0.048 (0.023, 0.08)"
GI,phecode_537-1,Peritonitis,"0.508 (0.486, 0.54)","0.557 (0.532, 0.577)","0.048 (0.015, 0.073)"
Genitourinary,phecode_596-5,Neuromuscular dysfunction of bladder,"0.564 (0.532, 0.611)","0.618 (0.584, 0.654)","0.048 (0.012, 0.089)"
Signs/Symptoms,phecode_805,Fever of unknown origin,"0.527 (0.515, 0.539)","0.574 (0.563, 0.584)","0.047 (0.035, 0.059)"
Blood,phecode_170-19,Neutropenia NOS,"0.555 (0.524, 0.582)","0.599 (0.578, 0.631)","0.047 (0.013, 0.068)"
Mental,phecode_282-1,Current tobacco use and nicotine dependence,"0.568 (0.559, 0.576)","0.614 (0.608, 0.622)","0.046 (0.039, 0.055)"
GI,phecode_503,Diseases of pulp and periapical tissues,"0.509 (0.494, 0.525)","0.557 (0.54, 0.569)","0.046 (0.033, 0.064)"
Cardio,phecode_449,Other disorders of the circulatory system,"0.633 (0.604, 0.668)","0.679 (0.643, 0.723)","0.046 (0.021, 0.075)"
Blood,phecode_164-6,Anemia secondary to chronic diseases and conditions,"0.648 (0.618, 0.688)","0.697 (0.662, 0.726)","0.046 (0.013, 0.08)"
Derm,phecode_666-2,Idiopathic urticaria,"0.557 (0.515, 0.604)","0.603 (0.558, 0.643)","0.046 (0.001, 0.088)"
Metab,phecode_256-1,Hyperosmolality and/or hypernatremia,"0.502 (0.475, 0.531)","0.547 (0.523, 0.568)","0.044 (0.021, 0.074)"
Hearing,phecode_396-1,Conductive hearing loss,"0.537 (0.501, 0.572)","0.579 (0.548, 0.615)","0.044 (0.011, 0.076)"
Resp,phecode_474-1,Emphysema,"0.697 (0.677, 0.712)","0.738 (0.719, 0.755)","0.043 (0.026, 0.055)"
Neuro,phecode_334-21,Bell's palsy,"0.527 (0.501, 0.557)","0.57 (0.544, 0.59)","0.043 (0.012, 0.069)"
Signs/Symptoms,phecode_826-3,Raised antibody titer*,"0.517 (0.491, 0.555)","0.562 (0.531, 0.588)","0.042 (0.012, 0.068)"
Eye,phecode_387-3,Astigmatism,"0.717 (0.702, 0.739)","0.759 (0.741, 0.779)","0.041 (0.028, 0.055)"
Metab,phecode_247-4,Disorders of magnesium metabolism,"0.67 (0.649, 0.691)","0.712 (0.69, 0.735)","0.041 (0.024, 0.058)"
Musc/Skel,phecode_719-3,Separation of muscle (nontraumatic),"0.672 (0.643, 0.697)","0.71 (0.684, 0.735)","0.041 (0.02, 0.057)"
GI,phecode_540-3,Viral hepatitits,"0.544 (0.506, 0.584)","0.587 (0.535, 0.622)","0.041 (0.011, 0.077)"
ID,phecode_054,Hepatovirus,"0.555 (0.507, 0.603)","0.594 (0.559, 0.642)","0.041 (0.011, 0.07)"
Endo,phecode_204-2,Impaired glucose tolerance (oral),"0.581 (0.57, 0.59)","0.621 (0.613, 0.629)","0.04 (0.031, 0.048)"
Musc/Skel,phecode_721-12,Radial styloid tenosynovitis [de Quervain],"0.544 (0.524, 0.563)","0.584 (0.566, 0.602)","0.04 (0.026, 0.057)"
Metab,phecode_256-4,Hyperkalemia [Hyperpotassemia],"0.667 (0.651, 0.687)","0.708 (0.691, 0.724)","0.04 (0.025, 0.052)"
Musc/Skel,phecode_706-1,Sacroiliitis NEC,"0.559 (0.531, 0.597)","0.598 (0.567, 0.633)","0.04 (0.014, 0.07)"
Musc/Skel,phecode_712-6,Instability of joint,"0.475 (0.437, 0.499)","0.513 (0.481, 0.558)","0.04 (0.014, 0.068)"
Blood,phecode_175-2,Secondary polycythemia,"0.627 (0.587, 0.671)","0.668 (0.627, 0.712)","0.04 (-0.01, 0.081)"
Signs/Symptoms,phecode_840-8,Allergies related to other diseases/symptoms,"0.508 (0.5, 0.517)","0.547 (0.54, 0.556)","0.039 (0.031, 0.047)"
Genitourinary,phecode_627-3,Postmenopausal atrophic vaginitis,"0.513 (0.504, 0.522)","0.552 (0.54, 0.56)","0.039 (0.027, 0.051)"
Eye,phecode_374-3,Retinal vascular changes and occlusions,"0.668 (0.656, 0.683)","0.707 (0.693, 0.72)","0.039 (0.027, 0.048)"
Cardio,phecode_443-1,Stricture of artery [Arterial stenosis],"0.726 (0.697, 0.76)","0.764 (0.739, 0.795)","0.039 (0.015, 0.057)"
Neuro,phecode_334-2,Facial nerve disorders and weakness,"0.527 (0.5, 0.546)","0.565 (0.541, 0.591)","0.039 (0.014, 0.066)"
Mental,phecode_299,"Mental disorder, not otherwise specified","0.532 (0.501, 0.559)","0.568 (0.542, 0.596)","0.039 (0.013, 0.058)"
Mental,phecode_286-1,Bipolar disorder,"0.512 (0.458, 0.55)","0.554 (0.505, 0.585)","0.039 (-0.001, 0.092)"
Resp,phecode_474,Chronic obstructive pulmonary disease [COPD],"0.666 (0.658, 0.674)","0.704 (0.697, 0.711)","0.038 (0.033, 0.046)"
Neuro,phecode_333-1,Sleep apnea,"0.598 (0.587, 0.611)","0.637 (0.627, 0.649)","0.038 (0.029, 0.05)"
Derm,phecode_662,Rosacea,"0.53 (0.52, 0.542)","0.567 (0.559, 0.576)","0.038 (0.029, 0.045)"
Resp,phecode_463-2,Allergic rhinitis,"0.501 (0.493, 0.51)","0.539 (0.532, 0.548)","0.038 (0.028, 0.048)"
Derm,phecode_686-2,Non-pressure chronic ulcer,"0.683 (0.667, 0.699)","0.72 (0.707, 0.737)","0.038 (0.027, 0.052)"
Eye,phecode_388,Blindness and low vision,"0.681 (0.666, 0.697)","0.72 (0.705, 0.735)","0.038 (0.027, 0.048)"
Resp,phecode_469-2,Chronic bronchitis,"0.651 (0.626, 0.676)","0.689 (0.668, 0.712)","0.038 (0.016, 0.064)"
GI,phecode_526-11,Intestinal e.coli,"0.504 (0.466, 0.538)","0.543 (0.514, 0.58)","0.038 (0.008, 0.074)"
Endo,phecode_204,Elevated blood glucose level,"0.581 (0.575, 0.587)","0.618 (0.612, 0.624)","0.037 (0.031, 0.044)"
GI,phecode_503-5,Periapical abscess,"0.512 (0.497, 0.526)","0.548 (0.533, 0.563)","0.037 (0.022, 0.055)"
Derm,phecode_665,Psoriasis,"0.512 (0.498, 0.528)","0.549 (0.537, 0.562)","0.037 (0.022, 0.054)"
GI,phecode_542-3,Hepatic failure,"0.654 (0.622, 0.692)","0.694 (0.66, 0.724)","0.037 (0.008, 0.072)"
Eye,phecode_375-1,Glaucoma,"0.653 (0.643, 0.661)","0.689 (0.678, 0.697)","0.036 (0.028, 0.043)"
Derm,phecode_685-8,Hyperhidrosis,"0.54 (0.528, 0.554)","0.577 (0.565, 0.59)","0.036 (0.025, 0.05)"
Musc/Skel,phecode_733-62,Arthralgia of temporomandibular joint,"0.594 (0.57, 0.623)","0.629 (0.604, 0.664)","0.036 (0.016, 0.059)"
Eye,phecode_374-38,Retinal vein occlusions,"0.67 (0.649, 0.691)","0.703 (0.688, 0.724)","0.036 (0.016, 0.05)"
Genitourinary,phecode_581-11,Acute pyelonephritis,"0.559 (0.533, 0.585)","0.595 (0.568, 0.616)","0.036 (0.012, 0.052)"
Derm,phecode_685-82,Generalized hyperhidrosis,"0.542 (0.527, 0.558)","0.578 (0.565, 0.591)","0.035 (0.022, 0.051)"
Eye,phecode_375-14,Low-tension glaucoma (Normal-tension glaucoma),"0.682 (0.657, 0.717)","0.72 (0.683, 0.749)","0.035 (0.009, 0.061)"
Neuro,phecode_356-1,Dysarthria,"0.646 (0.604, 0.683)","0.684 (0.646, 0.721)","0.035 (0.007, 0.089)"
Eye,phecode_384,Anomalies of pupillary function,"0.558 (0.528, 0.598)","0.592 (0.555, 0.647)","0.035 (-0.013, 0.078)"
Neuro,phecode_351,Disturbances of skin sensation,"0.535 (0.529, 0.54)","0.568 (0.563, 0.573)","0.034 (0.027, 0.039)"
Resp,phecode_463-21,Seasonal allergic rhinitis,"0.51 (0.499, 0.52)","0.545 (0.532, 0.555)","0.034 (0.019, 0.048)"
Eye,phecode_375-113,Primary open angle glaucoma,"0.661 (0.636, 0.684)","0.694 (0.666, 0.714)","0.034 (0.016, 0.052)"
Eye,phecode_376-1,Vitreous degeneration,"0.606 (0.598, 0.615)","0.638 (0.631, 0.647)","0.033 (0.022, 0.041)"
Neoplasms,phecode_102-1,Malignant neoplasm of the of bronchus and lung,"0.679 (0.665, 0.697)","0.714 (0.697, 0.726)","0.033 (0.021, 0.045)"
Blood,phecode_168-19,Spontaneous ecchymoses,"0.533 (0.507, 0.558)","0.566 (0.536, 0.591)","0.033 (0.004, 0.064)"
Eye,phecode_375,Abnormal intraocular pressure,"0.619 (0.61, 0.629)","0.651 (0.641, 0.66)","0.032 (0.026, 0.038)"
Mental,phecode_280-11,Alcohol abuse,"0.616 (0.603, 0.631)","0.648 (0.636, 0.66)","0.032 (0.023, 0.042)"
Neuro,phecode_336-55,Lesion of plantar nerve,"0.599 (0.581, 0.611)","0.631 (0.613, 0.647)","0.032 (0.021, 0.047)"
Derm,phecode_680-3,Xerosis cutis*,"0.592 (0.578, 0.606)","0.622 (0.609, 0.638)","0.032 (0.019, 0.042)"
Blood,phecode_164-2,Macrocytic anemia,"0.624 (0.599, 0.643)","0.656 (0.632, 0.675)","0.032 (0.017, 0.046)"
Derm,phecode_660-4,Carbuncle and furuncle,"0.524 (0.511, 0.541)","0.557 (0.543, 0.573)","0.032 (0.014, 0.046)"
Cardio,phecode_401-3,Hypertensive chronic kidney disease,"0.7 (0.67, 0.737)","0.732 (0.699, 0.768)","0.032 (0.009, 0.059)"
Eye,phecode_386-4,Visual field defects,"0.608 (0.585, 0.63)","0.639 (0.611, 0.662)","0.032 (0.005, 0.054)"
Resp,phecode_486-2,Other diseases of bronchus,"0.506 (0.477, 0.538)","0.54 (0.499, 0.57)","0.032 (-0.009, 0.078)"
